tau,momentum,seed,epoch,train_loss,train_acc,test_acc
10,0.0,456,1,3.3325,13.93,17.37
10,0.0,456,2,2.0559,20.77,21.97
10,0.0,456,3,1.9819,22.97,21.90
10,0.0,456,4,1.9081,26.55,28.56
10,0.0,456,5,1.8171,30.28,31.10
10,0.0,456,6,1.7434,33.27,35.46
10,0.0,456,7,1.6764,35.69,39.18
10,0.0,456,8,1.6267,38.52,38.30
10,0.0,456,9,1.5732,40.83,40.00
10,0.0,456,10,1.5039,43.82,45.32
10,0.0,456,11,1.4323,46.66,42.39
10,0.0,456,12,1.3786,49.32,42.78
10,0.0,456,13,1.3052,51.59,52.88
10,0.0,456,14,1.2380,54.82,46.88
10,0.0,456,15,1.1794,57.04,56.14
10,0.0,456,16,1.1388,58.67,61.36
10,0.0,456,17,1.0875,60.42,63.18
10,0.0,456,18,1.0227,63.08,61.97
10,0.0,456,19,0.9524,66.17,55.33
10,0.0,456,20,0.9287,66.65,62.38
10,0.0,456,21,0.8917,68.14,58.84
10,0.0,456,22,0.8520,69.79,65.76
10,0.0,456,23,0.8050,71.49,69.61
10,0.0,456,24,0.7878,72.31,68.43
10,0.0,456,25,0.7625,73.20,70.59
10,0.0,456,26,0.7226,74.77,72.27
10,0.0,456,27,0.7161,74.86,71.88
10,0.0,456,28,0.6921,75.66,71.87
10,0.0,456,29,0.6677,76.80,73.45
10,0.0,456,30,0.6525,77.21,74.96
10,0.0,456,31,0.5603,80.60,80.21
10,0.0,456,32,0.5466,81.11,80.36
10,0.0,456,33,0.5428,81.00,80.34
10,0.0,456,34,0.5344,81.41,80.55
10,0.0,456,35,0.5332,81.59,80.59
10,0.0,456,36,0.5287,81.60,80.82
10,0.0,456,37,0.5246,81.91,80.80
10,0.0,456,38,0.5205,81.97,80.79
10,0.0,456,39,0.5200,82.03,80.82
10,0.0,456,40,0.5184,82.03,80.73
10,0.0,456,41,0.5101,82.34,80.85
10,0.0,456,42,0.5121,82.35,80.96
10,0.0,456,43,0.5099,82.16,80.93
10,0.0,456,44,0.5087,82.38,80.95
10,0.0,456,45,0.5065,82.44,80.96
10,0.0,456,46,0.5106,82.30,81.00
10,0.0,456,47,0.5095,82.34,81.00
10,0.0,456,48,0.5080,82.43,81.13
10,0.0,456,49,0.5053,82.40,81.01
10,0.0,456,50,0.5058,82.43,81.00
