tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
0,0.833333,456,1,1.6120,40.99,48.46,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,2,1.0939,60.47,58.75,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,3,0.8767,69.11,61.63,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,4,0.7457,73.71,69.67,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,5,0.6675,76.64,73.36,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,6,0.6104,78.76,76.36,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,7,0.5687,80.25,79.68,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,8,0.5380,81.23,78.99,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,9,0.5056,82.43,74.41,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,10,0.4847,82.94,78.09,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,11,0.4596,84.05,81.20,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,12,0.4398,84.68,79.20,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,13,0.4289,85.16,78.80,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,14,0.4086,85.92,81.34,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,15,0.4018,86.13,78.11,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,16,0.3873,86.38,82.19,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,17,0.3774,86.66,81.10,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,18,0.3660,87.29,82.34,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,19,0.3594,87.51,84.43,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,20,0.3519,87.75,84.05,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,21,0.3351,88.32,83.58,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,22,0.3337,88.46,79.41,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,23,0.3259,88.65,84.61,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,24,0.3190,88.88,84.03,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,25,0.3142,88.93,84.17,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,26,0.3083,89.18,84.42,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,27,0.3043,89.48,83.70,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,28,0.2997,89.25,85.63,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,29,0.2932,89.79,81.43,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,30,0.2893,89.79,83.63,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,31,0.2075,92.71,89.61,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,32,0.1830,93.71,89.87,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,33,0.1730,94.07,89.97,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,34,0.1658,94.27,89.94,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,35,0.1594,94.46,89.85,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,36,0.1551,94.68,89.96,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,37,0.1528,94.71,89.64,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,38,0.1493,94.82,89.98,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,39,0.1455,95.01,90.07,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,40,0.1426,95.14,89.99,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,41,0.1340,95.38,90.12,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,42,0.1325,95.45,90.19,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,43,0.1314,95.60,90.26,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,44,0.1301,95.53,90.35,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,45,0.1298,95.63,90.36,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,46,0.1295,95.67,90.28,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,47,0.1281,95.62,90.28,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,48,0.1283,95.60,90.26,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,49,0.1286,95.59,90.31,1.0,A,,fixed,0.8333,0.3,fifo,1
0,0.833333,456,50,0.1281,95.61,90.32,1.0,A,,fixed,0.8333,0.3,fifo,1
