tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
0,0.8,42,1,1.6124,40.94,53.00,1.0,A,
0,0.8,42,2,1.1234,59.53,51.11,1.0,A,
0,0.8,42,3,0.9026,67.98,63.81,1.0,A,
0,0.8,42,4,0.7698,72.99,64.97,1.0,A,
0,0.8,42,5,0.6843,76.01,73.98,1.0,A,
0,0.8,42,6,0.6274,78.22,75.28,1.0,A,
0,0.8,42,7,0.5831,79.92,78.05,1.0,A,
0,0.8,42,8,0.5427,81.23,77.27,1.0,A,
0,0.8,42,9,0.5151,82.29,76.73,1.0,A,
0,0.8,42,10,0.4933,82.86,72.58,1.0,A,
0,0.8,42,11,0.4690,83.61,80.69,1.0,A,
0,0.8,42,12,0.4510,84.40,81.82,1.0,A,
0,0.8,42,13,0.4360,84.82,75.26,1.0,A,
0,0.8,42,14,0.4209,85.38,82.16,1.0,A,
0,0.8,42,15,0.4071,85.81,82.10,1.0,A,
0,0.8,42,16,0.3926,86.34,83.24,1.0,A,
0,0.8,42,17,0.3786,86.85,81.77,1.0,A,
0,0.8,42,18,0.3720,87.15,82.77,1.0,A,
0,0.8,42,19,0.3616,87.49,82.29,1.0,A,
0,0.8,42,20,0.3532,87.74,82.90,1.0,A,
0,0.8,42,21,0.3479,87.82,85.21,1.0,A,
0,0.8,42,22,0.3363,88.42,81.08,1.0,A,
0,0.8,42,23,0.3286,88.70,83.42,1.0,A,
0,0.8,42,24,0.3202,88.86,80.14,1.0,A,
0,0.8,42,25,0.3145,89.03,84.35,1.0,A,
0,0.8,42,26,0.3089,89.20,83.75,1.0,A,
0,0.8,42,27,0.3055,89.34,84.46,1.0,A,
0,0.8,42,28,0.2973,89.56,84.61,1.0,A,
0,0.8,42,29,0.2924,89.84,83.11,1.0,A,
0,0.8,42,30,0.2914,89.93,81.58,1.0,A,
0,0.8,42,31,0.2116,92.76,89.08,1.0,A,
0,0.8,42,32,0.1905,93.56,89.13,1.0,A,
0,0.8,42,33,0.1794,93.89,89.07,1.0,A,
0,0.8,42,34,0.1725,94.12,88.99,1.0,A,
0,0.8,42,35,0.1654,94.35,89.24,1.0,A,
0,0.8,42,36,0.1637,94.39,89.00,1.0,A,
0,0.8,42,37,0.1607,94.46,89.32,1.0,A,
0,0.8,42,38,0.1579,94.54,89.17,1.0,A,
0,0.8,42,39,0.1533,94.68,89.13,1.0,A,
0,0.8,42,40,0.1506,94.77,89.15,1.0,A,
0,0.8,42,41,0.1407,95.24,89.34,1.0,A,
0,0.8,42,42,0.1399,95.31,89.21,1.0,A,
0,0.8,42,43,0.1395,95.31,89.57,1.0,A,
0,0.8,42,44,0.1371,95.36,89.42,1.0,A,
0,0.8,42,45,0.1371,95.33,89.47,1.0,A,
0,0.8,42,46,0.1383,95.26,89.41,1.0,A,
0,0.8,42,47,0.1375,95.34,89.42,1.0,A,
0,0.8,42,48,0.1372,95.32,89.47,1.0,A,
0,0.8,42,49,0.1361,95.34,89.45,1.0,A,
0,0.8,42,50,0.1357,95.33,89.35,1.0,A,
