tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
2,0.4,123,1,2.1308,25.97,30.85,1.0,B,0.2458
2,0.4,123,2,1.6038,40.16,39.03,1.0,B,0.2210
2,0.4,123,3,1.3850,48.96,46.36,1.0,B,0.1944
2,0.4,123,4,1.2102,55.93,56.82,1.0,B,0.1654
2,0.4,123,5,1.0710,61.33,61.85,1.0,B,0.1383
2,0.4,123,6,0.9716,65.14,62.89,1.0,B,0.1170
2,0.4,123,7,0.8764,68.79,68.35,1.0,B,0.1009
2,0.4,123,8,0.8060,71.43,71.37,1.0,B,0.0982
2,0.4,123,9,0.7430,73.84,67.14,1.0,B,0.0795
2,0.4,123,10,0.6943,75.70,69.44,1.0,B,0.0794
2,0.4,123,11,0.6562,76.98,70.60,1.0,B,0.0785
2,0.4,123,12,0.6178,78.28,75.69,1.0,B,0.0680
2,0.4,123,13,0.5846,79.45,74.25,1.0,B,0.0602
2,0.4,123,14,0.5599,80.54,76.12,1.0,B,0.0580
2,0.4,123,15,0.5336,81.28,79.51,1.0,B,0.0550
2,0.4,123,16,0.5141,82.11,79.93,1.0,B,0.0526
2,0.4,123,17,0.4988,82.69,80.58,1.0,B,0.0545
2,0.4,123,18,0.4762,83.37,81.16,1.0,B,0.0481
2,0.4,123,19,0.4637,83.81,79.42,1.0,B,0.0491
2,0.4,123,20,0.4472,84.58,81.46,1.0,B,0.0489
2,0.4,123,21,0.4351,84.72,78.74,1.0,B,0.0462
2,0.4,123,22,0.4238,85.31,79.63,1.0,B,0.0459
2,0.4,123,23,0.4121,85.77,82.32,1.0,B,0.0458
2,0.4,123,24,0.3959,86.09,81.76,1.0,B,0.0407
2,0.4,123,25,0.3896,86.42,83.10,1.0,B,0.0424
2,0.4,123,26,0.3820,86.73,82.81,1.0,B,0.0414
2,0.4,123,27,0.3711,86.82,80.07,1.0,B,0.0395
2,0.4,123,28,0.3648,87.25,83.38,1.0,B,0.0408
2,0.4,123,29,0.3522,87.57,83.06,1.0,B,0.0378
2,0.4,123,30,0.3511,87.79,85.52,1.0,B,0.0399
2,0.4,123,31,0.2814,90.30,87.30,1.0,B,0.0095
2,0.4,123,32,0.2595,91.10,87.07,1.0,B,0.0018
2,0.4,123,33,0.2556,91.28,87.53,1.0,B,0.0032
2,0.4,123,34,0.2502,91.33,87.58,1.0,B,0.0032
2,0.4,123,35,0.2452,91.57,87.72,1.0,B,0.0056
2,0.4,123,36,0.2410,91.65,87.66,1.0,B,0.0029
2,0.4,123,37,0.2402,91.76,87.58,1.0,B,0.0037
2,0.4,123,38,0.2386,91.85,87.48,1.0,B,0.0030
2,0.4,123,39,0.2365,91.84,87.80,1.0,B,0.0014
2,0.4,123,40,0.2315,92.11,87.65,1.0,B,0.0006
2,0.4,123,41,0.2294,92.07,87.83,1.0,B,0.0014
2,0.4,123,42,0.2256,92.26,87.82,1.0,B,0.0032
2,0.4,123,43,0.2258,92.20,87.84,1.0,B,-0.0007
2,0.4,123,44,0.2255,92.35,87.78,1.0,B,-0.0037
2,0.4,123,45,0.2258,92.17,87.80,1.0,B,0.0012
2,0.4,123,46,0.2246,92.23,87.72,1.0,B,-0.0012
2,0.4,123,47,0.2212,92.39,87.74,1.0,B,0.0010
2,0.4,123,48,0.2278,92.15,87.65,1.0,B,0.0003
2,0.4,123,49,0.2245,92.28,87.89,1.0,B,-0.0044
2,0.4,123,50,0.2246,92.27,87.87,1.0,B,-0.0022
