tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
20,0.0,456,1,2.2716,20.49,25.39,0.05,C,0.0827
20,0.0,456,2,1.9436,26.84,28.39,0.05,C,0.0275
20,0.0,456,3,1.8745,28.93,34.16,0.05,C,0.0302
20,0.0,456,4,1.8028,31.34,32.69,0.05,C,0.0234
20,0.0,456,5,1.7474,33.71,37.74,0.05,C,0.0309
20,0.0,456,6,1.6844,35.84,38.16,0.05,C,0.0269
20,0.0,456,7,1.6280,38.80,39.27,0.05,C,0.0206
20,0.0,456,8,1.6057,39.43,40.76,0.05,C,0.0185
20,0.0,456,9,1.5896,40.10,38.97,0.05,C,0.0253
20,0.0,456,10,1.5449,42.63,42.55,0.05,C,0.0310
20,0.0,456,11,1.5014,44.07,45.40,0.05,C,0.0187
20,0.0,456,12,1.5002,43.83,46.35,0.05,C,0.0275
20,0.0,456,13,1.4563,46.17,48.42,0.05,C,0.0208
20,0.0,456,14,1.4195,47.79,46.27,0.05,C,0.0147
20,0.0,456,15,1.3954,48.68,44.98,0.05,C,0.0162
20,0.0,456,16,1.4076,48.04,49.55,0.05,C,0.0310
20,0.0,456,17,1.3840,49.19,49.22,0.05,C,0.0253
20,0.0,456,18,1.3411,50.78,51.25,0.05,C,0.0228
20,0.0,456,19,1.3222,51.52,52.10,0.05,C,0.0175
20,0.0,456,20,1.3088,52.08,52.57,0.05,C,0.0256
20,0.0,456,21,1.2954,52.73,54.22,0.05,C,0.0207
20,0.0,456,22,1.2905,52.69,52.57,0.05,C,0.0141
20,0.0,456,23,1.2456,54.95,56.27,0.05,C,0.0187
20,0.0,456,24,1.2273,55.31,55.01,0.05,C,0.0155
20,0.0,456,25,1.2126,56.22,55.54,0.05,C,0.0100
20,0.0,456,26,1.2256,55.44,56.64,0.05,C,0.0161
20,0.0,456,27,1.2088,55.93,57.21,0.05,C,0.0249
20,0.0,456,28,1.1734,57.70,59.95,0.05,C,0.0173
20,0.0,456,29,1.1576,57.96,55.65,0.05,C,0.0161
20,0.0,456,30,1.1535,58.21,59.52,0.05,C,0.0269
20,0.0,456,31,1.0874,61.21,62.07,0.05,C,0.0261
20,0.0,456,32,1.0783,61.44,62.27,0.05,C,0.0051
20,0.0,456,33,1.0750,61.38,61.96,0.05,C,0.0045
20,0.0,456,34,1.0719,61.89,62.20,0.05,C,0.0000
20,0.0,456,35,1.0699,61.71,62.18,0.05,C,0.0041
20,0.0,456,36,1.0693,61.77,62.22,0.05,C,0.0005
20,0.0,456,37,1.0658,61.86,62.27,0.05,C,0.0100
20,0.0,456,38,1.0645,61.91,62.46,0.05,C,0.0070
20,0.0,456,39,1.0634,61.81,62.42,0.05,C,0.0002
20,0.0,456,40,1.0620,62.13,62.39,0.05,C,0.0107
20,0.0,456,41,1.0603,61.94,62.39,0.05,C,0.0015
20,0.0,456,42,1.0596,62.00,62.53,0.05,C,-0.0028
20,0.0,456,43,1.0559,61.94,62.59,0.05,C,-0.0031
20,0.0,456,44,1.0557,62.38,62.62,0.05,C,0.0003
20,0.0,456,45,1.0557,62.15,62.58,0.05,C,0.0017
20,0.0,456,46,1.0580,62.03,62.55,0.05,C,-0.0036
20,0.0,456,47,1.0605,62.07,62.70,0.05,C,-0.0032
20,0.0,456,48,1.0590,62.13,62.69,0.05,C,-0.0049
20,0.0,456,49,1.0582,62.20,62.71,0.05,C,0.0029
20,0.0,456,50,1.0563,62.42,62.57,0.05,C,-0.0007
