tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
0,0.85,42,1,1.6229,40.69,46.62,1.0,E,
0,0.85,42,2,1.1359,59.42,60.31,1.0,E,
0,0.85,42,3,0.9291,66.88,51.90,1.0,E,
0,0.85,42,4,0.7954,72.07,73.23,1.0,E,
0,0.85,42,5,0.6984,75.67,72.51,1.0,E,
0,0.85,42,6,0.6395,77.90,76.01,1.0,E,
0,0.85,42,7,0.5959,79.30,76.55,1.0,E,
0,0.85,42,8,0.5558,80.90,76.43,1.0,E,
0,0.85,42,9,0.5270,81.64,79.60,1.0,E,
0,0.85,42,10,0.5044,82.52,76.86,1.0,E,
0,0.85,42,11,0.4833,83.39,79.74,1.0,E,
0,0.85,42,12,0.4634,84.03,80.44,1.0,E,
0,0.85,42,13,0.4439,84.70,76.96,1.0,E,
0,0.85,42,14,0.4330,85.08,82.42,1.0,E,
0,0.85,42,15,0.4161,85.59,82.82,1.0,E,
0,0.85,42,16,0.4048,86.05,83.30,1.0,E,
0,0.85,42,17,0.3881,86.45,81.68,1.0,E,
0,0.85,42,18,0.3852,86.49,84.09,1.0,E,
0,0.85,42,19,0.3718,87.19,81.89,1.0,E,
0,0.85,42,20,0.3667,87.14,82.10,1.0,E,
0,0.85,42,21,0.3578,87.52,84.45,1.0,E,
0,0.85,42,22,0.3465,88.00,82.38,1.0,E,
0,0.85,42,23,0.3429,88.23,84.38,1.0,E,
0,0.85,42,24,0.3299,88.39,80.97,1.0,E,
0,0.85,42,25,0.3268,88.64,85.06,1.0,E,
0,0.85,42,26,0.3217,88.85,82.45,1.0,E,
0,0.85,42,27,0.3182,88.90,83.95,1.0,E,
0,0.85,42,28,0.3117,89.08,82.54,1.0,E,
0,0.85,42,29,0.3046,89.42,82.24,1.0,E,
0,0.85,42,30,0.2981,89.58,84.01,1.0,E,
0,0.85,42,31,0.2178,92.55,89.34,1.0,E,
0,0.85,42,32,0.1908,93.43,89.22,1.0,E,
0,0.85,42,33,0.1796,93.88,89.37,1.0,E,
0,0.85,42,34,0.1732,94.07,89.58,1.0,E,
0,0.85,42,35,0.1683,94.24,89.48,1.0,E,
0,0.85,42,36,0.1619,94.40,89.43,1.0,E,
0,0.85,42,37,0.1601,94.39,89.57,1.0,E,
0,0.85,42,38,0.1571,94.59,89.59,1.0,E,
0,0.85,42,39,0.1515,94.88,89.69,1.0,E,
0,0.85,42,40,0.1496,94.70,89.40,1.0,E,
0,0.85,42,41,0.1398,95.24,89.67,1.0,E,
0,0.85,42,42,0.1383,95.19,89.85,1.0,E,
0,0.85,42,43,0.1360,95.37,89.73,1.0,E,
0,0.85,42,44,0.1391,95.23,89.69,1.0,E,
0,0.85,42,45,0.1368,95.34,89.80,1.0,E,
0,0.85,42,46,0.1335,95.47,89.69,1.0,E,
0,0.85,42,47,0.1333,95.45,89.59,1.0,E,
0,0.85,42,48,0.1321,95.41,89.72,1.0,E,
0,0.85,42,49,0.1342,95.40,89.82,1.0,E,
0,0.85,42,50,0.1337,95.42,89.74,1.0,E,
