tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
20,-0.7,42,1,3.8623,11.82,12.17,1.0,F,0.1033
20,-0.7,42,2,2.2757,13.66,13.59,1.0,F,0.0439
20,-0.7,42,3,2.2239,16.66,18.50,1.0,F,0.0530
20,-0.7,42,4,2.1319,18.51,19.37,1.0,F,0.0493
20,-0.7,42,5,2.0387,21.22,23.79,1.0,F,0.0192
20,-0.7,42,6,1.9708,24.78,25.87,1.0,F,0.0248
20,-0.7,42,7,1.9404,26.09,27.85,1.0,F,0.0256
20,-0.7,42,8,1.8801,29.28,29.05,1.0,F,0.0227
20,-0.7,42,9,1.8438,30.15,29.51,1.0,F,0.0270
20,-0.7,42,10,1.7986,31.87,31.78,1.0,F,0.0095
20,-0.7,42,11,1.7665,32.81,39.30,1.0,F,0.0234
20,-0.7,42,12,1.7022,35.95,38.30,1.0,F,0.0183
20,-0.7,42,13,1.6691,36.57,36.05,1.0,F,0.0237
20,-0.7,42,14,1.6011,39.84,42.28,1.0,F,0.0177
20,-0.7,42,15,1.5916,40.35,40.87,1.0,F,0.0178
20,-0.7,42,16,1.5603,42.15,43.83,1.0,F,0.0200
20,-0.7,42,17,1.4828,44.87,42.42,1.0,F,0.0202
20,-0.7,42,18,1.5003,44.76,42.68,1.0,F,0.0196
20,-0.7,42,19,1.4200,47.32,48.97,1.0,F,0.0141
20,-0.7,42,20,1.4078,48.26,49.98,1.0,F,0.0137
20,-0.7,42,21,1.3494,50.44,49.38,1.0,F,0.0173
20,-0.7,42,22,1.3230,51.32,52.53,1.0,F,0.0191
20,-0.7,42,23,1.3084,52.31,53.84,1.0,F,0.0146
20,-0.7,42,24,1.2342,54.92,47.91,1.0,F,0.0177
20,-0.7,42,25,1.2182,56.13,51.47,1.0,F,0.0127
20,-0.7,42,26,1.1673,57.79,48.41,1.0,F,0.0128
20,-0.7,42,27,1.1751,57.83,53.93,1.0,F,0.0169
20,-0.7,42,28,1.0993,60.30,56.20,1.0,F,0.0135
20,-0.7,42,29,1.0982,60.65,59.89,1.0,F,0.0167
20,-0.7,42,30,1.0547,62.01,62.53,1.0,F,0.0081
20,-0.7,42,31,0.9271,67.12,67.40,1.0,F,0.0286
20,-0.7,42,32,0.9085,67.59,67.94,1.0,F,0.0078
20,-0.7,42,33,0.8997,67.99,68.26,1.0,F,0.0009
20,-0.7,42,34,0.8942,68.32,68.36,1.0,F,0.0087
20,-0.7,42,35,0.8869,68.51,68.44,1.0,F,0.0001
20,-0.7,42,36,0.8810,68.71,68.76,1.0,F,0.0048
20,-0.7,42,37,0.8742,68.73,68.84,1.0,F,0.0046
20,-0.7,42,38,0.8711,69.02,68.73,1.0,F,0.0067
20,-0.7,42,39,0.8662,69.22,69.13,1.0,F,0.0092
20,-0.7,42,40,0.8647,69.35,69.15,1.0,F,0.0002
20,-0.7,42,41,0.8561,69.52,69.17,1.0,F,-0.0001
20,-0.7,42,42,0.8561,69.40,69.17,1.0,F,0.0016
20,-0.7,42,43,0.8573,69.26,69.34,1.0,F,0.0006
20,-0.7,42,44,0.8521,69.70,69.42,1.0,F,-0.0002
20,-0.7,42,45,0.8553,69.47,69.30,1.0,F,0.0006
20,-0.7,42,46,0.8535,69.67,69.28,1.0,F,0.0033
20,-0.7,42,47,0.8536,69.65,69.32,1.0,F,-0.0030
20,-0.7,42,48,0.8554,69.40,69.28,1.0,F,-0.0031
20,-0.7,42,49,0.8525,69.65,69.26,1.0,F,-0.0041
20,-0.7,42,50,0.8516,69.77,69.34,1.0,F,0.0010
