tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied
10,0.0,42,1,3.1008,10.90,11.44,1.0,G,0.1121,above_bound,0.0000
10,0.0,42,2,2.2739,12.73,17.26,1.0,G,0.0511,above_bound,0.3000
10,0.0,42,3,2.1362,19.21,22.52,1.0,G,0.0741,above_bound,0.3000
10,0.0,42,4,1.9952,23.66,27.82,1.0,G,0.0849,above_bound,0.3000
10,0.0,42,5,1.8959,27.49,30.12,1.0,G,0.0635,above_bound,0.3000
10,0.0,42,6,1.8281,30.23,29.26,1.0,G,0.0634,above_bound,0.3000
10,0.0,42,7,1.7677,32.67,31.00,1.0,G,0.0626,above_bound,0.3000
10,0.0,42,8,1.7154,34.84,38.61,1.0,G,0.0666,above_bound,0.3000
10,0.0,42,9,1.6459,38.00,39.36,1.0,G,0.0609,above_bound,0.3000
10,0.0,42,10,1.5901,39.97,42.95,1.0,G,0.0536,above_bound,0.3000
10,0.0,42,11,1.5269,42.55,42.25,1.0,G,0.0477,above_bound,0.3000
10,0.0,42,12,1.4540,45.85,48.84,1.0,G,0.0495,above_bound,0.3000
10,0.0,42,13,1.3925,48.74,43.22,1.0,G,0.0452,above_bound,0.3000
10,0.0,42,14,1.3131,51.92,51.08,1.0,G,0.0408,above_bound,0.3000
10,0.0,42,15,1.2534,54.68,50.55,1.0,G,0.0418,above_bound,0.3000
10,0.0,42,16,1.1702,57.31,55.82,1.0,G,0.0397,above_bound,0.3000
10,0.0,42,17,1.1010,60.17,56.85,1.0,G,0.0297,above_bound,0.3000
10,0.0,42,18,1.0651,61.86,58.24,1.0,G,0.0362,above_bound,0.3000
10,0.0,42,19,0.9937,64.37,62.10,1.0,G,0.0314,above_bound,0.3000
10,0.0,42,20,0.9472,66.28,64.82,1.0,G,0.0321,above_bound,0.3000
10,0.0,42,21,0.8921,68.36,64.78,1.0,G,0.0315,above_bound,0.3000
10,0.0,42,22,0.8533,69.87,65.53,1.0,G,0.0300,above_bound,0.3000
10,0.0,42,23,0.8028,71.70,69.48,1.0,G,0.0247,above_bound,0.3000
10,0.0,42,24,0.7714,72.96,71.54,1.0,G,0.0279,above_bound,0.3000
10,0.0,42,25,0.7526,73.59,72.13,1.0,G,0.0259,above_bound,0.3000
10,0.0,42,26,0.7157,74.92,71.73,1.0,G,0.0235,above_bound,0.3000
10,0.0,42,27,0.6790,76.11,72.87,1.0,G,0.0200,above_bound,0.3000
10,0.0,42,28,0.6604,76.78,73.77,1.0,G,0.0219,above_bound,0.3000
10,0.0,42,29,0.6322,77.77,68.31,1.0,G,0.0210,above_bound,0.3000
10,0.0,42,30,0.6178,78.38,73.39,1.0,G,0.0219,above_bound,0.3000
10,0.0,42,31,1.0140,64.89,54.95,1.0,G,0.1755,above_bound,0.9500
10,0.0,42,32,0.8018,72.26,74.57,1.0,G,0.1275,above_bound,0.9500
10,0.0,42,33,0.6522,77.21,77.26,1.0,G,0.0706,above_bound,0.9500
10,0.0,42,34,0.6456,77.57,74.06,1.0,G,0.0738,above_bound,0.9500
10,0.0,42,35,0.6447,77.58,75.64,1.0,G,0.0801,above_bound,0.9500
10,0.0,42,36,0.5846,79.74,76.09,1.0,G,0.0617,above_bound,0.9500
10,0.0,42,37,0.5645,80.56,77.86,1.0,G,0.0578,above_bound,0.9500
10,0.0,42,38,0.5516,80.78,78.13,1.0,G,0.0511,above_bound,0.9500
10,0.0,42,39,0.5558,80.74,78.49,1.0,G,0.0612,above_bound,0.9500
10,0.0,42,40,0.5337,81.37,76.24,1.0,G,0.0547,above_bound,0.9500
10,0.0,42,41,0.4379,85.11,84.51,1.0,G,0.0194,above_bound,0.9500
10,0.0,42,42,0.4028,86.13,84.40,1.0,G,0.0007,above_bound,0.9500
10,0.0,42,43,0.3939,86.49,84.88,1.0,G,0.0035,above_bound,0.9500
10,0.0,42,44,0.3884,86.59,84.76,1.0,G,0.0014,above_bound,0.9500
10,0.0,42,45,0.3835,86.71,84.73,1.0,G,0.0026,above_bound,0.9500
10,0.0,42,46,0.3803,86.77,84.89,1.0,G,0.0006,above_bound,0.9500
10,0.0,42,47,0.3767,87.01,85.14,1.0,G,0.0006,above_bound,0.9500
10,0.0,42,48,0.3734,87.11,85.16,1.0,G,0.0033,above_bound,0.9500
10,0.0,42,49,0.3669,87.30,85.08,1.0,G,0.0010,above_bound,0.9500
10,0.0,42,50,0.3637,87.38,85.05,1.0,G,0.0033,above_bound,0.9500
