tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied
10,0.0,123,1,3.2254,11.40,11.49,1.0,G,0.0591,below_bound,0.0000
10,0.0,123,2,2.2849,13.45,14.46,1.0,G,0.0567,below_bound,-0.3000
10,0.0,123,3,2.2407,16.44,20.83,1.0,G,0.0551,below_bound,-0.3000
10,0.0,123,4,2.0349,22.05,26.12,1.0,G,0.0461,below_bound,-0.3000
10,0.0,123,5,1.9417,26.06,28.37,1.0,G,0.0451,below_bound,-0.3000
10,0.0,123,6,1.8676,28.95,32.24,1.0,G,0.0495,below_bound,-0.3000
10,0.0,123,7,1.7600,33.10,35.77,1.0,G,0.0344,below_bound,-0.3000
10,0.0,123,8,1.6737,36.32,33.66,1.0,G,0.0314,below_bound,-0.3000
10,0.0,123,9,1.6101,39.14,37.21,1.0,G,0.0315,below_bound,-0.3000
10,0.0,123,10,1.5474,42.45,39.45,1.0,G,0.0310,below_bound,-0.3000
10,0.0,123,11,1.4755,45.18,41.00,1.0,G,0.0327,below_bound,-0.3000
10,0.0,123,12,1.4054,48.10,42.18,1.0,G,0.0225,below_bound,-0.3000
10,0.0,123,13,1.3476,50.62,45.42,1.0,G,0.0230,below_bound,-0.3000
10,0.0,123,14,1.2741,53.32,53.64,1.0,G,0.0262,below_bound,-0.3000
10,0.0,123,15,1.2146,56.01,55.28,1.0,G,0.0263,below_bound,-0.3000
10,0.0,123,16,1.1632,57.75,57.73,1.0,G,0.0237,below_bound,-0.3000
10,0.0,123,17,1.0983,60.39,56.55,1.0,G,0.0227,below_bound,-0.3000
10,0.0,123,18,1.0525,62.40,53.02,1.0,G,0.0234,below_bound,-0.3000
10,0.0,123,19,1.0131,63.57,62.60,1.0,G,0.0236,below_bound,-0.3000
10,0.0,123,20,0.9574,65.82,62.02,1.0,G,0.0200,below_bound,-0.3000
10,0.0,123,21,0.9136,67.49,62.59,1.0,G,0.0202,below_bound,-0.3000
10,0.0,123,22,0.8719,68.85,61.76,1.0,G,0.0203,below_bound,-0.3000
10,0.0,123,23,0.8493,69.98,65.97,1.0,G,0.0212,below_bound,-0.3000
10,0.0,123,24,0.7953,72.02,70.88,1.0,G,0.0191,below_bound,-0.3000
10,0.0,123,25,0.7736,72.96,69.54,1.0,G,0.0150,below_bound,-0.3000
10,0.0,123,26,0.7453,73.94,71.79,1.0,G,0.0190,below_bound,-0.3000
10,0.0,123,27,0.7226,74.72,71.17,1.0,G,0.0181,below_bound,-0.3000
10,0.0,123,28,0.6991,75.72,71.37,1.0,G,0.0214,below_bound,-0.3000
10,0.0,123,29,0.6695,76.71,74.74,1.0,G,0.0188,below_bound,-0.3000
10,0.0,123,30,0.6528,77.31,74.25,1.0,G,0.0141,below_bound,-0.3000
10,0.0,123,31,0.5678,80.33,80.07,1.0,G,0.0087,below_bound,0.3838
10,0.0,123,32,0.5549,80.68,80.28,1.0,G,0.0019,below_bound,0.3838
10,0.0,123,33,0.5483,81.13,80.57,1.0,G,0.0056,below_bound,0.3838
10,0.0,123,34,0.5426,81.10,80.44,1.0,G,0.0052,below_bound,0.3838
10,0.0,123,35,0.5330,81.55,80.50,1.0,G,0.0032,below_bound,0.3838
10,0.0,123,36,0.5303,81.68,81.01,1.0,G,0.0045,below_bound,0.3838
10,0.0,123,37,0.5231,81.77,80.53,1.0,G,0.0020,below_bound,0.3838
10,0.0,123,38,0.5227,81.92,81.14,1.0,G,0.0043,below_bound,0.3838
10,0.0,123,39,0.5158,82.11,81.04,1.0,G,0.0025,below_bound,0.3838
10,0.0,123,40,0.5112,82.34,80.73,1.0,G,0.0063,below_bound,0.3838
10,0.0,123,41,0.5023,82.53,81.30,1.0,G,0.0036,below_bound,0.6000
10,0.0,123,42,0.5009,82.59,81.42,1.0,G,-0.0006,below_bound,0.6000
10,0.0,123,43,0.4966,82.81,81.46,1.0,G,-0.0007,below_bound,0.6000
10,0.0,123,44,0.4963,82.79,81.35,1.0,G,-0.0001,below_bound,0.6000
10,0.0,123,45,0.4944,82.81,81.47,1.0,G,0.0002,below_bound,0.6000
10,0.0,123,46,0.4941,82.86,81.23,1.0,G,0.0018,below_bound,0.6000
10,0.0,123,47,0.4907,83.01,81.41,1.0,G,-0.0002,below_bound,0.6000
10,0.0,123,48,0.4926,82.91,81.63,1.0,G,0.0002,below_bound,0.6000
10,0.0,123,49,0.4938,82.70,81.74,1.0,G,0.0008,below_bound,0.6000
10,0.0,123,50,0.4936,82.75,81.35,1.0,G,0.0010,below_bound,0.6000
