tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied
20,0.0,123,1,4.4994,10.15,10.65,1.0,G,0.1340,neg_ramp,0.0000
20,0.0,123,2,2.3040,10.77,11.93,1.0,G,0.0514,neg_ramp,-0.9500
20,0.0,123,3,2.2984,12.33,12.06,1.0,G,0.0184,neg_ramp,-0.9500
20,0.0,123,4,2.2929,13.27,13.34,1.0,G,0.0411,neg_ramp,-0.9500
20,0.0,123,5,2.2871,13.67,13.76,1.0,G,0.0118,neg_ramp,-0.9500
20,0.0,123,6,2.2782,13.88,13.88,1.0,G,0.0603,neg_ramp,-0.9500
20,0.0,123,7,2.2682,13.95,13.95,1.0,G,0.0240,neg_ramp,-0.9500
20,0.0,123,8,2.2531,14.36,14.92,1.0,G,0.0657,neg_ramp,-0.9500
20,0.0,123,9,2.2139,16.32,16.95,1.0,G,0.1974,neg_ramp,-0.9500
20,0.0,123,10,2.1318,17.37,15.70,1.0,G,0.3059,neg_ramp,-0.9500
20,0.0,123,11,2.1092,16.86,18.02,1.0,G,0.4212,neg_ramp,-0.9500
20,0.0,123,12,2.0812,18.38,15.07,1.0,G,0.4304,neg_ramp,-0.9500
20,0.0,123,13,2.0554,18.84,17.82,1.0,G,0.3536,neg_ramp,-0.9500
20,0.0,123,14,2.0843,18.00,16.36,1.0,G,0.5197,neg_ramp,-0.9500
20,0.0,123,15,2.0135,19.50,18.31,1.0,G,0.3859,neg_ramp,-0.9500
20,0.0,123,16,2.0058,19.55,19.99,1.0,G,0.3867,neg_ramp,-0.9500
20,0.0,123,17,1.9877,20.26,20.31,1.0,G,0.3459,neg_ramp,-0.9500
20,0.0,123,18,1.9952,20.30,13.74,1.0,G,0.3862,neg_ramp,-0.9500
20,0.0,123,19,1.9964,20.53,20.60,1.0,G,0.3819,neg_ramp,-0.9500
20,0.0,123,20,1.9410,22.26,21.97,1.0,G,0.2173,neg_ramp,-0.9500
20,0.0,123,21,1.9384,22.91,22.18,1.0,G,0.2527,neg_ramp,-0.9500
20,0.0,123,22,1.9767,22.78,22.78,1.0,G,0.4076,neg_ramp,-0.9500
20,0.0,123,23,1.9332,23.77,23.16,1.0,G,0.2956,neg_ramp,-0.9500
20,0.0,123,24,1.9144,24.34,19.48,1.0,G,0.2855,neg_ramp,-0.9500
20,0.0,123,25,1.8978,26.07,19.85,1.0,G,0.2607,neg_ramp,-0.9500
20,0.0,123,26,1.8769,26.36,21.70,1.0,G,0.2946,neg_ramp,-0.9500
20,0.0,123,27,1.8634,27.98,23.81,1.0,G,0.3065,neg_ramp,-0.9500
20,0.0,123,28,1.8813,28.30,20.97,1.0,G,0.3801,neg_ramp,-0.9500
20,0.0,123,29,1.8500,28.62,30.67,1.0,G,0.3478,neg_ramp,-0.9500
20,0.0,123,30,1.8016,30.49,24.62,1.0,G,0.3122,neg_ramp,-0.9500
20,0.0,123,31,1.7189,34.74,36.72,1.0,G,0.0582,neg_ramp,0.5528
20,0.0,123,32,1.6667,37.02,38.29,1.0,G,0.0250,neg_ramp,0.5528
20,0.0,123,33,1.6452,38.14,39.21,1.0,G,0.0134,neg_ramp,0.5528
20,0.0,123,34,1.6322,38.65,38.49,1.0,G,0.0170,neg_ramp,0.5528
20,0.0,123,35,1.6114,39.56,41.57,1.0,G,0.0252,neg_ramp,0.5528
20,0.0,123,36,1.6042,40.11,40.34,1.0,G,0.0241,neg_ramp,0.5528
20,0.0,123,37,1.5766,41.19,40.53,1.0,G,0.0246,neg_ramp,0.5528
20,0.0,123,38,1.5765,41.05,40.29,1.0,G,0.0319,neg_ramp,0.5528
20,0.0,123,39,1.5758,41.04,35.51,1.0,G,0.0509,neg_ramp,0.5528
20,0.0,123,40,1.5436,42.29,39.84,1.0,G,0.0249,neg_ramp,0.5528
20,0.0,123,41,1.4895,44.89,46.09,1.0,G,0.0327,neg_ramp,0.8586
20,0.0,123,42,1.4744,45.52,46.02,1.0,G,0.0144,neg_ramp,0.8586
20,0.0,123,43,1.4627,46.19,46.37,1.0,G,0.0133,neg_ramp,0.8586
20,0.0,123,44,1.4564,46.12,46.36,1.0,G,0.0119,neg_ramp,0.8586
20,0.0,123,45,1.4447,46.56,47.09,1.0,G,0.0181,neg_ramp,0.8586
20,0.0,123,46,1.4456,46.38,45.73,1.0,G,0.0314,neg_ramp,0.8586
20,0.0,123,47,1.4379,46.89,47.26,1.0,G,0.0303,neg_ramp,0.8586
20,0.0,123,48,1.4338,47.22,48.49,1.0,G,0.0235,neg_ramp,0.8586
20,0.0,123,49,1.4255,47.38,46.35,1.0,G,0.0463,neg_ramp,0.8586
20,0.0,123,50,1.4179,47.76,47.24,1.0,G,0.0351,neg_ramp,0.8586
