tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied
5,0.0,123,1,2.3722,22.53,28.58,1.0,G,0.1022,at_bound,0.0000
5,0.0,123,2,1.8250,30.76,33.78,1.0,G,0.1136,at_bound,0.2929
5,0.0,123,3,1.6439,38.19,41.69,1.0,G,0.1008,at_bound,0.2929
5,0.0,123,4,1.5068,44.32,41.49,1.0,G,0.0928,at_bound,0.2929
5,0.0,123,5,1.3597,49.78,54.71,1.0,G,0.0864,at_bound,0.2929
5,0.0,123,6,1.2410,55.13,53.31,1.0,G,0.0786,at_bound,0.2929
5,0.0,123,7,1.1302,58.85,54.01,1.0,G,0.0674,at_bound,0.2929
5,0.0,123,8,1.0588,62.01,56.53,1.0,G,0.0632,at_bound,0.2929
5,0.0,123,9,0.9735,65.06,61.69,1.0,G,0.0583,at_bound,0.2929
5,0.0,123,10,0.9349,66.61,63.70,1.0,G,0.0566,at_bound,0.2929
5,0.0,123,11,0.8577,69.67,64.52,1.0,G,0.0509,at_bound,0.2929
5,0.0,123,12,0.8131,71.25,71.37,1.0,G,0.0498,at_bound,0.2929
5,0.0,123,13,0.7479,73.65,69.94,1.0,G,0.0434,at_bound,0.2929
5,0.0,123,14,0.7177,74.69,67.95,1.0,G,0.0468,at_bound,0.2929
5,0.0,123,15,0.6827,76.01,69.07,1.0,G,0.0424,at_bound,0.2929
5,0.0,123,16,0.6481,77.37,76.82,1.0,G,0.0377,at_bound,0.2929
5,0.0,123,17,0.6155,78.51,75.32,1.0,G,0.0362,at_bound,0.2929
5,0.0,123,18,0.5941,79.26,76.20,1.0,G,0.0356,at_bound,0.2929
5,0.0,123,19,0.5750,80.05,76.91,1.0,G,0.0356,at_bound,0.2929
5,0.0,123,20,0.5543,80.71,76.20,1.0,G,0.0356,at_bound,0.2929
5,0.0,123,21,0.5353,81.37,78.24,1.0,G,0.0306,at_bound,0.2929
5,0.0,123,22,0.5154,82.19,80.46,1.0,G,0.0331,at_bound,0.2929
5,0.0,123,23,0.4961,82.89,76.32,1.0,G,0.0254,at_bound,0.2929
5,0.0,123,24,0.4881,83.15,79.82,1.0,G,0.0319,at_bound,0.2929
5,0.0,123,25,0.4728,83.41,80.73,1.0,G,0.0301,at_bound,0.2929
5,0.0,123,26,0.4622,83.96,80.94,1.0,G,0.0279,at_bound,0.2929
5,0.0,123,27,0.4462,84.51,81.46,1.0,G,0.0243,at_bound,0.2929
5,0.0,123,28,0.4357,84.74,82.86,1.0,G,0.0258,at_bound,0.2929
5,0.0,123,29,0.4268,84.98,82.09,1.0,G,0.0290,at_bound,0.2929
5,0.0,123,30,0.4190,85.33,80.79,1.0,G,0.0262,at_bound,0.2929
5,0.0,123,31,0.3419,88.21,85.52,1.0,G,0.0121,at_bound,0.7764
5,0.0,123,32,0.3252,88.80,85.10,1.0,G,0.0064,at_bound,0.7764
5,0.0,123,33,0.3189,88.93,85.52,1.0,G,0.0088,at_bound,0.7764
5,0.0,123,34,0.3154,89.14,85.53,1.0,G,0.0075,at_bound,0.7764
5,0.0,123,35,0.3076,89.33,85.52,1.0,G,0.0060,at_bound,0.7764
5,0.0,123,36,0.3044,89.45,85.81,1.0,G,0.0099,at_bound,0.7764
5,0.0,123,37,0.2996,89.54,85.58,1.0,G,0.0090,at_bound,0.7764
5,0.0,123,38,0.2970,89.55,86.15,1.0,G,0.0072,at_bound,0.7764
5,0.0,123,39,0.2903,89.95,86.08,1.0,G,0.0097,at_bound,0.7764
5,0.0,123,40,0.2872,89.93,85.33,1.0,G,0.0109,at_bound,0.7764
5,0.0,123,41,0.2689,90.69,86.48,1.0,G,0.0038,at_bound,0.9293
5,0.0,123,42,0.2645,90.89,86.64,1.0,G,0.0000,at_bound,0.9293
5,0.0,123,43,0.2612,90.87,86.48,1.0,G,0.0027,at_bound,0.9293
5,0.0,123,44,0.2590,90.94,86.54,1.0,G,0.0010,at_bound,0.9293
5,0.0,123,45,0.2564,91.15,86.48,1.0,G,0.0022,at_bound,0.9293
5,0.0,123,46,0.2546,91.12,86.28,1.0,G,0.0024,at_bound,0.9293
5,0.0,123,47,0.2496,91.26,86.82,1.0,G,0.0018,at_bound,0.9293
5,0.0,123,48,0.2537,91.17,86.64,1.0,G,0.0025,at_bound,0.9293
5,0.0,123,49,0.2497,91.31,86.58,1.0,G,0.0007,at_bound,0.9293
5,0.0,123,50,0.2470,91.50,86.43,1.0,G,0.0012,at_bound,0.9293
