tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset
5,0.0,456,1,2.5256,19.03,26.18,1.0,H,0.1006,above_bound,0.0000,0.1
5,0.0,456,2,1.9278,27.39,31.30,1.0,H,0.1482,above_bound,0.3929,0.1
5,0.0,456,3,1.7305,33.51,37.86,1.0,H,0.1268,above_bound,0.3929,0.1
5,0.0,456,4,1.6282,37.83,37.66,1.0,H,0.1161,above_bound,0.3929,0.1
5,0.0,456,5,1.5279,42.57,46.47,1.0,H,0.1102,above_bound,0.3929,0.1
5,0.0,456,6,1.4102,47.53,47.04,1.0,H,0.1071,above_bound,0.3929,0.1
5,0.0,456,7,1.2959,52.27,52.89,1.0,H,0.0973,above_bound,0.3929,0.1
5,0.0,456,8,1.1497,58.01,60.72,1.0,H,0.0849,above_bound,0.3929,0.1
5,0.0,456,9,1.0520,61.85,59.90,1.0,H,0.0831,above_bound,0.3929,0.1
5,0.0,456,10,0.9517,65.63,65.50,1.0,H,0.0661,above_bound,0.3929,0.1
5,0.0,456,11,0.8747,68.74,69.22,1.0,H,0.0653,above_bound,0.3929,0.1
5,0.0,456,12,0.7979,71.99,70.48,1.0,H,0.0592,above_bound,0.3929,0.1
5,0.0,456,13,0.7423,73.80,71.67,1.0,H,0.0501,above_bound,0.3929,0.1
5,0.0,456,14,0.6954,75.63,73.11,1.0,H,0.0494,above_bound,0.3929,0.1
5,0.0,456,15,0.6552,77.23,70.93,1.0,H,0.0453,above_bound,0.3929,0.1
5,0.0,456,16,0.6275,77.98,77.26,1.0,H,0.0414,above_bound,0.3929,0.1
5,0.0,456,17,0.6011,79.24,75.57,1.0,H,0.0437,above_bound,0.3929,0.1
5,0.0,456,18,0.5715,80.20,77.74,1.0,H,0.0391,above_bound,0.3929,0.1
5,0.0,456,19,0.5591,80.67,75.76,1.0,H,0.0394,above_bound,0.3929,0.1
5,0.0,456,20,0.5289,81.65,76.86,1.0,H,0.0326,above_bound,0.3929,0.1
5,0.0,456,21,0.5158,82.11,77.44,1.0,H,0.0359,above_bound,0.3929,0.1
5,0.0,456,22,0.4960,82.72,72.97,1.0,H,0.0318,above_bound,0.3929,0.1
5,0.0,456,23,0.4870,83.24,77.03,1.0,H,0.0348,above_bound,0.3929,0.1
5,0.0,456,24,0.4715,83.68,80.44,1.0,H,0.0324,above_bound,0.3929,0.1
5,0.0,456,25,0.4528,84.21,79.46,1.0,H,0.0280,above_bound,0.3929,0.1
5,0.0,456,26,0.4444,84.39,80.87,1.0,H,0.0302,above_bound,0.3929,0.1
5,0.0,456,27,0.4317,85.09,78.18,1.0,H,0.0294,above_bound,0.3929,0.1
5,0.0,456,28,0.4241,85.21,80.25,1.0,H,0.0296,above_bound,0.3929,0.1
5,0.0,456,29,0.4108,85.83,82.09,1.0,H,0.0261,above_bound,0.3929,0.1
5,0.0,456,30,0.3997,86.10,80.82,1.0,H,0.0289,above_bound,0.3929,0.1
5,0.0,456,31,0.3329,88.58,86.09,1.0,H,0.0150,above_bound,0.8764,0.1
5,0.0,456,32,0.3231,88.79,85.85,1.0,H,0.0175,above_bound,0.8764,0.1
5,0.0,456,33,0.3116,89.26,86.27,1.0,H,0.0128,above_bound,0.8764,0.1
5,0.0,456,34,0.3111,89.11,86.15,1.0,H,0.0183,above_bound,0.8764,0.1
5,0.0,456,35,0.3055,89.40,85.92,1.0,H,0.0174,above_bound,0.8764,0.1
5,0.0,456,36,0.2966,89.69,86.82,1.0,H,0.0180,above_bound,0.8764,0.1
5,0.0,456,37,0.2941,89.53,86.43,1.0,H,0.0171,above_bound,0.8764,0.1
5,0.0,456,38,0.2929,89.94,86.14,1.0,H,0.0210,above_bound,0.8764,0.1
5,0.0,456,39,0.2853,89.92,86.20,1.0,H,0.0209,above_bound,0.8764,0.1
5,0.0,456,40,0.2845,90.04,85.71,1.0,H,0.0196,above_bound,0.8764,0.1
5,0.0,456,41,0.2472,91.39,87.41,1.0,H,0.0050,above_bound,0.9500,0.1
5,0.0,456,42,0.2342,91.93,87.48,1.0,H,0.0024,above_bound,0.9500,0.1
5,0.0,456,43,0.2321,92.11,87.61,1.0,H,0.0054,above_bound,0.9500,0.1
5,0.0,456,44,0.2304,92.08,87.86,1.0,H,0.0057,above_bound,0.9500,0.1
5,0.0,456,45,0.2265,92.15,87.40,1.0,H,-0.0003,above_bound,0.9500,0.1
5,0.0,456,46,0.2250,92.27,87.75,1.0,H,0.0028,above_bound,0.9500,0.1
5,0.0,456,47,0.2235,92.29,87.81,1.0,H,0.0052,above_bound,0.9500,0.1
5,0.0,456,48,0.2220,92.37,87.61,1.0,H,0.0045,above_bound,0.9500,0.1
5,0.0,456,49,0.2203,92.28,87.57,1.0,H,0.0028,above_bound,0.9500,0.1
5,0.0,456,50,0.2169,92.51,87.46,1.0,H,0.0021,above_bound,0.9500,0.1
