tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
10,0.9,456,1,3.0800,10.55,12.19,1.0,A,0.1565,fixed,0.9000,0.3,geometric,11
10,0.9,456,2,2.3028,11.25,10.00,1.0,A,0.1278,fixed,0.9000,0.3,geometric,11
10,0.9,456,3,2.3090,10.01,9.99,1.0,A,0.0783,fixed,0.9000,0.3,geometric,11
10,0.9,456,4,2.3098,10.05,10.00,1.0,A,0.0790,fixed,0.9000,0.3,geometric,11
10,0.9,456,5,2.3128,9.89,9.99,1.0,A,0.0954,fixed,0.9000,0.3,geometric,11
10,0.9,456,6,2.3097,9.96,10.00,1.0,A,0.0910,fixed,0.9000,0.3,geometric,11
10,0.9,456,7,2.3121,9.93,10.00,1.0,A,0.0935,fixed,0.9000,0.3,geometric,11
10,0.9,456,8,2.3109,10.07,10.00,1.0,A,0.0905,fixed,0.9000,0.3,geometric,11
10,0.9,456,9,2.3100,10.05,10.02,1.0,A,0.1158,fixed,0.9000,0.3,geometric,11
10,0.9,456,10,2.3107,9.95,10.00,1.0,A,0.0807,fixed,0.9000,0.3,geometric,11
10,0.9,456,11,2.3100,10.18,10.00,1.0,A,0.1143,fixed,0.9000,0.3,geometric,11
10,0.9,456,12,2.3113,9.80,10.00,1.0,A,0.1231,fixed,0.9000,0.3,geometric,11
10,0.9,456,13,2.3100,10.12,10.00,1.0,A,0.1162,fixed,0.9000,0.3,geometric,11
10,0.9,456,14,2.3104,9.87,10.00,1.0,A,0.1154,fixed,0.9000,0.3,geometric,11
10,0.9,456,15,2.3098,9.91,10.00,1.0,A,0.1014,fixed,0.9000,0.3,geometric,11
10,0.9,456,16,2.3088,10.13,10.00,1.0,A,0.0522,fixed,0.9000,0.3,geometric,11
10,0.9,456,17,2.3094,9.93,10.00,1.0,A,0.1017,fixed,0.9000,0.3,geometric,11
10,0.9,456,18,2.3115,9.91,10.00,1.0,A,0.0752,fixed,0.9000,0.3,geometric,11
10,0.9,456,19,2.3098,10.05,10.00,1.0,A,0.0787,fixed,0.9000,0.3,geometric,11
10,0.9,456,20,2.3092,10.04,10.00,1.0,A,0.0912,fixed,0.9000,0.3,geometric,11
10,0.9,456,21,2.2609,13.85,17.91,1.0,A,0.1195,fixed,0.9000,0.3,geometric,11
10,0.9,456,22,2.2120,16.33,14.85,1.0,A,0.1732,fixed,0.9000,0.3,geometric,11
10,0.9,456,23,2.1372,17.91,19.33,1.0,A,0.1980,fixed,0.9000,0.3,geometric,11
10,0.9,456,24,2.1715,17.31,17.99,1.0,A,0.2712,fixed,0.9000,0.3,geometric,11
10,0.9,456,25,2.1582,16.81,17.24,1.0,A,0.2250,fixed,0.9000,0.3,geometric,11
10,0.9,456,26,2.0430,18.68,18.80,1.0,A,0.2051,fixed,0.9000,0.3,geometric,11
10,0.9,456,27,2.0833,18.19,13.56,1.0,A,0.2210,fixed,0.9000,0.3,geometric,11
10,0.9,456,28,2.0553,18.29,20.92,1.0,A,0.2292,fixed,0.9000,0.3,geometric,11
10,0.9,456,29,2.1227,18.13,11.54,1.0,A,0.2733,fixed,0.9000,0.3,geometric,11
10,0.9,456,30,2.1032,18.21,19.46,1.0,A,0.2597,fixed,0.9000,0.3,geometric,11
10,0.9,456,31,1.9149,22.90,24.20,1.0,A,0.0448,fixed,0.9000,0.3,geometric,11
10,0.9,456,32,1.8911,24.28,24.71,1.0,A,0.0219,fixed,0.9000,0.3,geometric,11
10,0.9,456,33,1.8597,26.60,26.51,1.0,A,0.0661,fixed,0.9000,0.3,geometric,11
10,0.9,456,34,1.8216,28.06,28.87,1.0,A,0.0605,fixed,0.9000,0.3,geometric,11
10,0.9,456,35,1.7897,29.57,30.48,1.0,A,0.0592,fixed,0.9000,0.3,geometric,11
10,0.9,456,36,1.7689,30.54,31.96,1.0,A,0.0605,fixed,0.9000,0.3,geometric,11
10,0.9,456,37,1.7536,31.49,31.68,1.0,A,0.0811,fixed,0.9000,0.3,geometric,11
10,0.9,456,38,1.7359,32.25,32.00,1.0,A,0.0729,fixed,0.9000,0.3,geometric,11
10,0.9,456,39,1.7224,32.96,33.76,1.0,A,0.0698,fixed,0.9000,0.3,geometric,11
10,0.9,456,40,1.7195,33.37,34.27,1.0,A,0.1202,fixed,0.9000,0.3,geometric,11
10,0.9,456,41,1.6772,36.06,35.82,1.0,A,0.0423,fixed,0.9000,0.3,geometric,11
10,0.9,456,42,1.6691,36.41,36.13,1.0,A,0.0049,fixed,0.9000,0.3,geometric,11
10,0.9,456,43,1.6592,37.01,36.84,1.0,A,0.0037,fixed,0.9000,0.3,geometric,11
10,0.9,456,44,1.6560,36.78,36.80,1.0,A,0.0241,fixed,0.9000,0.3,geometric,11
10,0.9,456,45,1.6488,37.50,37.51,1.0,A,0.0015,fixed,0.9000,0.3,geometric,11
10,0.9,456,46,1.6453,37.62,37.49,1.0,A,0.0287,fixed,0.9000,0.3,geometric,11
10,0.9,456,47,1.6388,37.68,38.16,1.0,A,0.0302,fixed,0.9000,0.3,geometric,11
10,0.9,456,48,1.6338,38.03,38.13,1.0,A,0.0311,fixed,0.9000,0.3,geometric,11
10,0.9,456,49,1.6299,38.03,38.36,1.0,A,0.0485,fixed,0.9000,0.3,geometric,11
10,0.9,456,50,1.6219,38.39,38.44,1.0,A,0.0340,fixed,0.9000,0.3,geometric,11
