tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
30,0.0,456,1,3.2971,11.28,12.57,1.0,A,0.1049,fixed,0.0000,0.3,geometric,31
30,0.0,456,2,2.2757,13.21,15.24,1.0,A,0.0557,fixed,0.0000,0.3,geometric,31
30,0.0,456,3,2.2087,17.14,19.53,1.0,A,0.0480,fixed,0.0000,0.3,geometric,31
30,0.0,456,4,2.1296,19.92,21.55,1.0,A,0.0393,fixed,0.0000,0.3,geometric,31
30,0.0,456,5,2.0684,21.83,24.92,1.0,A,0.0498,fixed,0.0000,0.3,geometric,31
30,0.0,456,6,1.9999,24.63,27.13,1.0,A,0.0416,fixed,0.0000,0.3,geometric,31
30,0.0,456,7,1.9634,26.17,28.37,1.0,A,0.0326,fixed,0.0000,0.3,geometric,31
30,0.0,456,8,1.8961,28.88,27.04,1.0,A,0.0579,fixed,0.0000,0.3,geometric,31
30,0.0,456,9,1.8490,30.54,29.92,1.0,A,0.0603,fixed,0.0000,0.3,geometric,31
30,0.0,456,10,1.7945,32.84,36.04,1.0,A,0.0660,fixed,0.0000,0.3,geometric,31
30,0.0,456,11,1.7513,34.89,36.72,1.0,A,0.0603,fixed,0.0000,0.3,geometric,31
30,0.0,456,12,1.7252,35.64,38.70,1.0,A,0.0336,fixed,0.0000,0.3,geometric,31
30,0.0,456,13,1.6381,38.50,40.90,1.0,A,0.0478,fixed,0.0000,0.3,geometric,31
30,0.0,456,14,1.5664,41.15,41.33,1.0,A,0.0403,fixed,0.0000,0.3,geometric,31
30,0.0,456,15,1.5719,41.11,41.86,1.0,A,0.0324,fixed,0.0000,0.3,geometric,31
30,0.0,456,16,1.4991,43.69,45.86,1.0,A,0.0398,fixed,0.0000,0.3,geometric,31
30,0.0,456,17,1.4555,45.49,41.72,1.0,A,0.0432,fixed,0.0000,0.3,geometric,31
30,0.0,456,18,1.4104,47.23,49.79,1.0,A,0.0449,fixed,0.0000,0.3,geometric,31
30,0.0,456,19,1.3691,49.11,49.85,1.0,A,0.0295,fixed,0.0000,0.3,geometric,31
30,0.0,456,20,1.3518,50.15,46.86,1.0,A,0.0440,fixed,0.0000,0.3,geometric,31
30,0.0,456,21,1.3041,51.79,52.93,1.0,A,0.0341,fixed,0.0000,0.3,geometric,31
30,0.0,456,22,1.2482,54.51,55.38,1.0,A,0.0279,fixed,0.0000,0.3,geometric,31
30,0.0,456,23,1.2245,55.52,49.06,1.0,A,0.0305,fixed,0.0000,0.3,geometric,31
30,0.0,456,24,1.1850,57.24,54.52,1.0,A,0.0350,fixed,0.0000,0.3,geometric,31
30,0.0,456,25,1.1375,59.07,54.99,1.0,A,0.0260,fixed,0.0000,0.3,geometric,31
30,0.0,456,26,1.1032,60.36,61.78,1.0,A,0.0273,fixed,0.0000,0.3,geometric,31
30,0.0,456,27,1.0651,61.91,48.04,1.0,A,0.0301,fixed,0.0000,0.3,geometric,31
30,0.0,456,28,1.0595,62.50,64.26,1.0,A,0.0264,fixed,0.0000,0.3,geometric,31
30,0.0,456,29,0.9782,65.24,64.27,1.0,A,0.0236,fixed,0.0000,0.3,geometric,31
30,0.0,456,30,0.9464,66.31,66.29,1.0,A,0.0260,fixed,0.0000,0.3,geometric,31
30,0.0,456,31,0.8475,70.26,71.44,1.0,A,0.0126,fixed,0.0000,0.3,geometric,31
30,0.0,456,32,0.8249,71.03,72.00,1.0,A,0.0000,fixed,0.0000,0.3,geometric,31
30,0.0,456,33,0.8132,71.50,72.01,1.0,A,0.0021,fixed,0.0000,0.3,geometric,31
30,0.0,456,34,0.8065,71.59,72.22,1.0,A,0.0023,fixed,0.0000,0.3,geometric,31
30,0.0,456,35,0.7975,72.10,72.33,1.0,A,0.0015,fixed,0.0000,0.3,geometric,31
30,0.0,456,36,0.7899,72.42,72.34,1.0,A,0.0048,fixed,0.0000,0.3,geometric,31
30,0.0,456,37,0.7849,72.46,72.91,1.0,A,0.0024,fixed,0.0000,0.3,geometric,31
30,0.0,456,38,0.7793,72.63,72.79,1.0,A,0.0076,fixed,0.0000,0.3,geometric,31
30,0.0,456,39,0.7725,72.81,73.11,1.0,A,0.0014,fixed,0.0000,0.3,geometric,31
30,0.0,456,40,0.7701,72.81,73.27,1.0,A,0.0049,fixed,0.0000,0.3,geometric,31
30,0.0,456,41,0.7608,73.34,73.43,1.0,A,0.0031,fixed,0.0000,0.3,geometric,31
30,0.0,456,42,0.7581,73.32,73.43,1.0,A,-0.0016,fixed,0.0000,0.3,geometric,31
30,0.0,456,43,0.7572,73.34,73.35,1.0,A,-0.0012,fixed,0.0000,0.3,geometric,31
30,0.0,456,44,0.7577,73.55,73.53,1.0,A,0.0007,fixed,0.0000,0.3,geometric,31
30,0.0,456,45,0.7576,73.40,73.29,1.0,A,0.0040,fixed,0.0000,0.3,geometric,31
30,0.0,456,46,0.7571,73.43,73.36,1.0,A,-0.0007,fixed,0.0000,0.3,geometric,31
30,0.0,456,47,0.7578,73.28,73.63,1.0,A,-0.0002,fixed,0.0000,0.3,geometric,31
30,0.0,456,48,0.7565,73.58,73.65,1.0,A,0.0055,fixed,0.0000,0.3,geometric,31
30,0.0,456,49,0.7547,73.45,73.46,1.0,A,0.0001,fixed,0.0000,0.3,geometric,31
30,0.0,456,50,0.7538,73.60,73.73,1.0,A,-0.0027,fixed,0.0000,0.3,geometric,31
