tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
20,0.0,42,1,2.7501,12.07,11.61,1.0,G,0.0580,at_bound,0.0000,0.3,geometric,21
20,0.0,42,2,2.2084,16.08,18.88,1.0,G,0.0705,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,3,2.0719,21.95,25.04,1.0,G,0.0776,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,4,1.9329,26.21,28.13,1.0,G,0.0565,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,5,1.8479,29.64,32.58,1.0,G,0.0476,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,6,1.7623,32.95,31.55,1.0,G,0.0357,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,7,1.7140,34.81,36.69,1.0,G,0.0550,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,8,1.6399,38.41,37.07,1.0,G,0.0450,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,9,1.6090,40.37,43.66,1.0,G,0.0473,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,10,1.5315,43.23,45.59,1.0,G,0.0436,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,11,1.4664,45.92,48.84,1.0,G,0.0489,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,12,1.4053,48.68,49.99,1.0,G,0.0382,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,13,1.3519,50.64,54.40,1.0,G,0.0299,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,14,1.2608,54.17,54.00,1.0,G,0.0391,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,15,1.1969,56.77,58.78,1.0,G,0.0358,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,16,1.1746,57.53,53.72,1.0,G,0.0356,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,17,1.1225,59.79,60.83,1.0,G,0.0260,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,18,1.0748,61.34,64.31,1.0,G,0.0296,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,19,1.0204,63.53,59.74,1.0,G,0.0271,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,20,0.9996,64.25,65.67,1.0,G,0.0308,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,21,0.9362,66.61,65.12,1.0,G,0.0288,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,22,0.9089,67.78,69.09,1.0,G,0.0270,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,23,0.8834,68.66,66.59,1.0,G,0.0285,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,24,0.8761,69.04,66.61,1.0,G,0.0275,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,25,0.8065,71.46,68.85,1.0,G,0.0259,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,26,0.7850,72.20,71.35,1.0,G,0.0270,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,27,0.7832,72.48,71.52,1.0,G,0.0230,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,28,0.7460,73.74,74.52,1.0,G,0.0243,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,29,0.7243,74.41,74.27,1.0,G,0.0158,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,30,0.7015,75.39,73.30,1.0,G,0.0204,at_bound,-0.4142,0.3,geometric,21
20,0.0,42,31,0.6243,78.33,77.41,1.0,G,0.0093,at_bound,0.5528,0.3,geometric,21
20,0.0,42,32,0.6024,78.87,77.23,1.0,G,0.0106,at_bound,0.5528,0.3,geometric,21
20,0.0,42,33,0.5927,79.30,78.13,1.0,G,0.0114,at_bound,0.5528,0.3,geometric,21
20,0.0,42,34,0.5885,79.41,76.28,1.0,G,0.0066,at_bound,0.5528,0.3,geometric,21
20,0.0,42,35,0.5811,79.74,78.88,1.0,G,0.0039,at_bound,0.5528,0.3,geometric,21
20,0.0,42,36,0.5720,80.08,79.23,1.0,G,0.0126,at_bound,0.5528,0.3,geometric,21
20,0.0,42,37,0.5648,80.31,78.83,1.0,G,0.0042,at_bound,0.5528,0.3,geometric,21
20,0.0,42,38,0.5592,80.40,78.64,1.0,G,0.0080,at_bound,0.5528,0.3,geometric,21
20,0.0,42,39,0.5513,80.95,78.76,1.0,G,0.0048,at_bound,0.5528,0.3,geometric,21
20,0.0,42,40,0.5497,80.81,79.19,1.0,G,0.0041,at_bound,0.5528,0.3,geometric,21
20,0.0,42,41,0.5252,81.71,79.91,1.0,G,0.0064,at_bound,0.8586,0.3,geometric,21
20,0.0,42,42,0.5216,81.95,79.77,1.0,G,0.0015,at_bound,0.8586,0.3,geometric,21
20,0.0,42,43,0.5155,82.02,80.39,1.0,G,0.0020,at_bound,0.8586,0.3,geometric,21
20,0.0,42,44,0.5126,82.24,80.33,1.0,G,0.0078,at_bound,0.8586,0.3,geometric,21
20,0.0,42,45,0.5110,82.09,80.65,1.0,G,0.0035,at_bound,0.8586,0.3,geometric,21
20,0.0,42,46,0.5096,82.26,80.34,1.0,G,0.0063,at_bound,0.8586,0.3,geometric,21
20,0.0,42,47,0.5069,82.39,80.44,1.0,G,0.0027,at_bound,0.8586,0.3,geometric,21
20,0.0,42,48,0.5023,82.48,80.85,1.0,G,0.0075,at_bound,0.8586,0.3,geometric,21
20,0.0,42,49,0.5038,82.35,80.73,1.0,G,0.0070,at_bound,0.8586,0.3,geometric,21
20,0.0,42,50,0.5006,82.49,80.51,1.0,G,0.0015,at_bound,0.8586,0.3,geometric,21
