tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
20,0.0,42,1,2.7501,12.07,11.61,1.0,G,0.0580,below_bound,0.0000,0.3,geometric,21
20,0.0,42,2,2.2142,15.76,18.13,1.0,G,0.0683,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,3,2.1072,21.02,25.63,1.0,G,0.0771,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,4,1.9640,25.26,27.88,1.0,G,0.0487,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,5,1.8758,28.02,31.21,1.0,G,0.0495,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,6,1.7976,31.37,33.12,1.0,G,0.0324,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,7,1.7678,32.60,35.67,1.0,G,0.0525,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,8,1.6840,36.26,36.62,1.0,G,0.0406,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,9,1.6301,38.95,37.15,1.0,G,0.0298,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,10,1.5796,41.31,42.13,1.0,G,0.0422,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,11,1.5118,43.83,49.13,1.0,G,0.0408,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,12,1.4596,46.19,46.81,1.0,G,0.0321,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,13,1.4180,48.05,52.33,1.0,G,0.0264,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,14,1.3331,51.31,51.89,1.0,G,0.0369,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,15,1.2754,53.49,56.08,1.0,G,0.0336,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,16,1.2562,54.01,51.70,1.0,G,0.0387,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,17,1.2171,56.18,55.07,1.0,G,0.0230,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,18,1.1562,58.28,59.43,1.0,G,0.0375,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,19,1.1131,59.94,55.60,1.0,G,0.0259,below_bound,-0.7142,0.3,geometric,21
20,0.0,42,20,1.0831,61.05,62.92,1.0,G,0.0323,below_bound,-0.7142,0.3,geometric,21
