tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
2,0.0,456,1,2.0705,27.30,34.68,1.0,G,0.0744,above_bound,0.0000,0.3,geometric,3
2,0.0,456,2,1.9893,25.32,30.19,1.0,G,0.2635,above_bound,0.8528,0.3,geometric,3
2,0.0,456,3,1.7274,34.48,31.21,1.0,G,0.2332,above_bound,0.8528,0.3,geometric,3
2,0.0,456,4,1.5179,43.76,49.87,1.0,G,0.2168,above_bound,0.8528,0.3,geometric,3
2,0.0,456,5,1.3265,51.68,54.56,1.0,G,0.1915,above_bound,0.8528,0.3,geometric,3
2,0.0,456,6,1.1752,57.96,52.06,1.0,G,0.1693,above_bound,0.8528,0.3,geometric,3
2,0.0,456,7,1.0180,63.75,62.37,1.0,G,0.1599,above_bound,0.8528,0.3,geometric,3
2,0.0,456,8,0.8960,68.42,59.32,1.0,G,0.1299,above_bound,0.8528,0.3,geometric,3
2,0.0,456,9,0.8410,70.33,66.64,1.0,G,0.1312,above_bound,0.8528,0.3,geometric,3
2,0.0,456,10,0.7865,72.58,69.79,1.0,G,0.1258,above_bound,0.8528,0.3,geometric,3
2,0.0,456,11,0.7353,74.26,68.63,1.0,G,0.1100,above_bound,0.8528,0.3,geometric,3
2,0.0,456,12,0.6739,76.44,68.84,1.0,G,0.0903,above_bound,0.8528,0.3,geometric,3
2,0.0,456,13,0.6646,76.88,74.63,1.0,G,0.0978,above_bound,0.8528,0.3,geometric,3
2,0.0,456,14,0.6355,77.92,75.71,1.0,G,0.0793,above_bound,0.8528,0.3,geometric,3
2,0.0,456,15,0.5944,79.57,76.58,1.0,G,0.0758,above_bound,0.8528,0.3,geometric,3
2,0.0,456,16,0.5746,80.34,76.92,1.0,G,0.0696,above_bound,0.8528,0.3,geometric,3
2,0.0,456,17,0.5649,80.53,76.86,1.0,G,0.0771,above_bound,0.8528,0.3,geometric,3
2,0.0,456,18,0.5650,80.31,74.55,1.0,G,0.0804,above_bound,0.8528,0.3,geometric,3
2,0.0,456,19,0.5366,81.44,73.83,1.0,G,0.0682,above_bound,0.8528,0.3,geometric,3
2,0.0,456,20,0.5267,81.76,76.59,1.0,G,0.0663,above_bound,0.8528,0.3,geometric,3
2,0.0,456,21,0.5012,82.69,72.42,1.0,G,0.0624,above_bound,0.8528,0.3,geometric,3
2,0.0,456,22,0.5073,82.38,80.14,1.0,G,0.0651,above_bound,0.8528,0.3,geometric,3
2,0.0,456,23,0.4950,82.78,75.96,1.0,G,0.0629,above_bound,0.8528,0.3,geometric,3
2,0.0,456,24,0.4718,83.69,66.81,1.0,G,0.0562,above_bound,0.8528,0.3,geometric,3
2,0.0,456,25,0.4788,83.55,78.11,1.0,G,0.0638,above_bound,0.8528,0.3,geometric,3
2,0.0,456,26,0.4715,83.54,80.64,1.0,G,0.0549,above_bound,0.8528,0.3,geometric,3
2,0.0,456,27,0.4650,83.95,78.14,1.0,G,0.0627,above_bound,0.8528,0.3,geometric,3
2,0.0,456,28,0.4549,84.23,79.34,1.0,G,0.0611,above_bound,0.8528,0.3,geometric,3
2,0.0,456,29,0.4488,84.54,79.25,1.0,G,0.0543,above_bound,0.8528,0.3,geometric,3
2,0.0,456,30,0.4495,84.39,82.18,1.0,G,0.0646,above_bound,0.8528,0.3,geometric,3
2,0.0,456,31,0.3359,88.31,86.53,1.0,G,0.0132,above_bound,0.9500,0.3,geometric,3
2,0.0,456,32,0.3104,89.20,87.03,1.0,G,0.0145,above_bound,0.9500,0.3,geometric,3
2,0.0,456,33,0.2993,89.56,87.10,1.0,G,0.0138,above_bound,0.9500,0.3,geometric,3
2,0.0,456,34,0.2946,89.74,87.13,1.0,G,0.0160,above_bound,0.9500,0.3,geometric,3
2,0.0,456,35,0.2899,89.98,87.17,1.0,G,0.0196,above_bound,0.9500,0.3,geometric,3
2,0.0,456,36,0.2859,90.19,86.86,1.0,G,0.0179,above_bound,0.9500,0.3,geometric,3
2,0.0,456,37,0.2773,90.36,87.17,1.0,G,0.0214,above_bound,0.9500,0.3,geometric,3
2,0.0,456,38,0.2752,90.48,87.46,1.0,G,0.0163,above_bound,0.9500,0.3,geometric,3
2,0.0,456,39,0.2708,90.54,86.52,1.0,G,0.0213,above_bound,0.9500,0.3,geometric,3
2,0.0,456,40,0.2747,90.45,86.93,1.0,G,0.0190,above_bound,0.9500,0.3,geometric,3
2,0.0,456,41,0.2465,91.38,88.38,1.0,G,0.0074,above_bound,0.9500,0.3,geometric,3
2,0.0,456,42,0.2310,92.05,88.57,1.0,G,0.0052,above_bound,0.9500,0.3,geometric,3
2,0.0,456,43,0.2229,92.34,88.67,1.0,G,0.0015,above_bound,0.9500,0.3,geometric,3
2,0.0,456,44,0.2197,92.44,88.82,1.0,G,-0.0004,above_bound,0.9500,0.3,geometric,3
2,0.0,456,45,0.2155,92.62,88.76,1.0,G,0.0018,above_bound,0.9500,0.3,geometric,3
2,0.0,456,46,0.2151,92.59,88.69,1.0,G,-0.0003,above_bound,0.9500,0.3,geometric,3
2,0.0,456,47,0.2136,92.63,88.84,1.0,G,0.0022,above_bound,0.9500,0.3,geometric,3
2,0.0,456,48,0.2125,92.78,88.79,1.0,G,0.0029,above_bound,0.9500,0.3,geometric,3
2,0.0,456,49,0.2117,92.66,88.93,1.0,G,0.0011,above_bound,0.9500,0.3,geometric,3
2,0.0,456,50,0.2067,93.07,88.88,1.0,G,0.0028,above_bound,0.9500,0.3,geometric,3
