tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
5,0.0,456,1,2.1769,25.12,28.17,1.0,G,0.0901,neg_ramp,0.0000,0.3,geometric,6
5,0.0,456,2,1.6461,38.20,44.45,1.0,G,0.0506,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,3,1.5443,42.68,43.48,1.0,G,0.0427,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,4,1.4158,47.99,51.76,1.0,G,0.0364,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,5,1.3136,52.22,46.48,1.0,G,0.0417,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,6,1.2239,55.51,54.10,1.0,G,0.0363,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,7,1.1377,58.82,61.22,1.0,G,0.0240,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,8,1.0731,61.18,58.46,1.0,G,0.0337,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,9,1.0239,63.29,63.17,1.0,G,0.0309,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,10,0.9680,65.10,60.97,1.0,G,0.0377,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,11,0.9355,66.73,64.89,1.0,G,0.0304,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,12,0.8998,68.08,65.12,1.0,G,0.0307,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,13,0.8574,69.52,67.56,1.0,G,0.0228,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,14,0.8202,70.95,61.42,1.0,G,0.0228,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,15,0.7936,71.88,72.45,1.0,G,0.0275,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,16,0.7659,73.07,69.18,1.0,G,0.0183,neg_ramp,-0.8000,0.3,geometric,6
5,0.0,456,17,0.7403,73.94,63.11,1.0,G,0.0210,neg_ramp,-0.8000,0.3,geometric,6
