tau,momentum,seed,epoch,train_loss,train_acc,test_acc
5,0.0,456,1,2.5415,18.42,26.79
5,0.0,456,2,1.8464,29.19,30.73
5,0.0,456,3,1.6870,35.07,38.92
5,0.0,456,4,1.6006,39.19,39.75
5,0.0,456,5,1.5102,43.37,44.58
5,0.0,456,6,1.4055,47.97,51.07
5,0.0,456,7,1.2756,53.11,49.97
5,0.0,456,8,1.1658,57.32,54.81
5,0.0,456,9,1.0753,61.00,63.05
5,0.0,456,10,0.9953,64.07,63.79
5,0.0,456,11,0.9205,66.78,66.88
5,0.0,456,12,0.8552,69.52,68.65
5,0.0,456,13,0.8065,71.43,72.03
5,0.0,456,14,0.7603,73.00,72.89
5,0.0,456,15,0.7307,74.23,74.08
5,0.0,456,16,0.6944,75.48,73.45
5,0.0,456,17,0.6608,76.83,75.29
5,0.0,456,18,0.6288,77.93,76.41
5,0.0,456,19,0.6130,78.57,71.00
5,0.0,456,20,0.5942,79.33,75.15
5,0.0,456,21,0.5660,80.05,78.42
5,0.0,456,22,0.5490,80.88,76.30
5,0.0,456,23,0.5346,81.38,77.13
5,0.0,456,24,0.5166,82.03,75.31
5,0.0,456,25,0.5068,82.34,78.69
5,0.0,456,26,0.4914,82.82,80.80
5,0.0,456,27,0.4772,83.41,79.17
5,0.0,456,28,0.4652,83.89,75.23
5,0.0,456,29,0.4597,83.92,80.01
5,0.0,456,30,0.4403,84.68,78.74
5,0.0,456,31,0.3748,86.87,84.72
5,0.0,456,32,0.3603,87.60,84.86
5,0.0,456,33,0.3550,87.80,85.00
5,0.0,456,34,0.3545,87.75,84.99
5,0.0,456,35,0.3472,87.99,85.07
5,0.0,456,36,0.3420,88.25,85.12
5,0.0,456,37,0.3447,88.16,85.03
5,0.0,456,38,0.3429,88.11,85.25
5,0.0,456,39,0.3389,88.35,85.24
5,0.0,456,40,0.3356,88.44,85.16
5,0.0,456,41,0.3292,88.66,85.02
5,0.0,456,42,0.3302,88.57,85.15
5,0.0,456,43,0.3303,88.59,85.22
5,0.0,456,44,0.3304,88.59,85.33
5,0.0,456,45,0.3288,88.68,85.23
5,0.0,456,46,0.3340,88.29,85.24
5,0.0,456,47,0.3272,88.74,85.27
5,0.0,456,48,0.3262,88.61,85.27
5,0.0,456,49,0.3287,88.62,85.26
5,0.0,456,50,0.3272,88.67,85.28
