tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
0,0.95,456,1,1.8372,32.01,45.26,1.0,A,
0,0.95,456,2,1.3017,52.50,55.45,1.0,A,
0,0.95,456,3,1.0145,63.59,58.73,1.0,A,
0,0.95,456,4,0.8479,69.98,65.98,1.0,A,
0,0.95,456,5,0.7480,73.94,70.08,1.0,A,
0,0.95,456,6,0.6748,76.47,69.87,1.0,A,
0,0.95,456,7,0.6218,78.67,75.28,1.0,A,
0,0.95,456,8,0.5851,79.96,75.34,1.0,A,
0,0.95,456,9,0.5692,80.35,76.84,1.0,A,
0,0.95,456,10,0.5495,80.98,74.39,1.0,A,
0,0.95,456,11,0.5192,82.02,78.79,1.0,A,
0,0.95,456,12,0.4953,82.90,80.03,1.0,A,
0,0.95,456,13,0.4864,83.23,75.40,1.0,A,
0,0.95,456,14,0.4723,83.67,80.21,1.0,A,
0,0.95,456,15,0.4582,84.16,82.01,1.0,A,
0,0.95,456,16,0.4503,84.69,80.50,1.0,A,
0,0.95,456,17,0.4430,84.63,80.23,1.0,A,
0,0.95,456,18,0.4291,85.24,80.38,1.0,A,
0,0.95,456,19,0.4220,85.35,79.74,1.0,A,
0,0.95,456,20,0.4221,85.35,80.50,1.0,A,
0,0.95,456,21,0.4168,85.53,76.16,1.0,A,
0,0.95,456,22,0.4011,86.20,82.60,1.0,A,
0,0.95,456,23,0.3966,86.41,81.99,1.0,A,
0,0.95,456,24,0.3991,86.31,82.12,1.0,A,
0,0.95,456,25,0.3898,86.52,81.50,1.0,A,
0,0.95,456,26,0.3897,86.48,82.83,1.0,A,
0,0.95,456,27,0.3784,86.87,75.24,1.0,A,
0,0.95,456,28,0.3759,86.92,79.41,1.0,A,
0,0.95,456,29,0.3810,86.82,79.34,1.0,A,
0,0.95,456,30,0.3643,87.39,84.49,1.0,A,
0,0.95,456,31,0.2552,91.22,89.07,1.0,A,
0,0.95,456,32,0.2211,92.43,89.73,1.0,A,
0,0.95,456,33,0.2067,92.92,89.73,1.0,A,
0,0.95,456,34,0.1934,93.41,89.83,1.0,A,
0,0.95,456,35,0.1903,93.47,89.83,1.0,A,
0,0.95,456,36,0.1795,93.74,90.02,1.0,A,
0,0.95,456,37,0.1778,93.87,90.18,1.0,A,
0,0.95,456,38,0.1707,94.08,89.88,1.0,A,
0,0.95,456,39,0.1675,94.15,90.04,1.0,A,
0,0.95,456,40,0.1598,94.50,89.89,1.0,A,
0,0.95,456,41,0.1468,94.93,90.49,1.0,A,
0,0.95,456,42,0.1429,95.12,90.42,1.0,A,
0,0.95,456,43,0.1387,95.31,90.54,1.0,A,
0,0.95,456,44,0.1399,95.13,90.44,1.0,A,
0,0.95,456,45,0.1388,95.24,90.44,1.0,A,
0,0.95,456,46,0.1384,95.27,90.48,1.0,A,
0,0.95,456,47,0.1364,95.32,90.50,1.0,A,
0,0.95,456,48,0.1368,95.29,90.42,1.0,A,
0,0.95,456,49,0.1331,95.46,90.46,1.0,A,
0,0.95,456,50,0.1343,95.40,90.48,1.0,A,
