tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
2,0.4,456,1,2.0963,25.69,29.02,1.0,B,0.2252
2,0.4,456,2,1.6193,38.51,41.75,1.0,B,0.2068
2,0.4,456,3,1.4286,47.36,48.29,1.0,B,0.1747
2,0.4,456,4,1.2528,54.20,53.45,1.0,B,0.1450
2,0.4,456,5,1.1136,59.68,61.10,1.0,B,0.1248
2,0.4,456,6,0.9976,64.24,60.61,1.0,B,0.1058
2,0.4,456,7,0.9052,67.59,66.18,1.0,B,0.0966
2,0.4,456,8,0.8198,70.98,68.70,1.0,B,0.0806
2,0.4,456,9,0.7537,73.43,73.85,1.0,B,0.0749
2,0.4,456,10,0.6969,75.51,69.39,1.0,B,0.0688
2,0.4,456,11,0.6477,77.41,70.34,1.0,B,0.0616
2,0.4,456,12,0.6163,78.54,76.22,1.0,B,0.0578
2,0.4,456,13,0.5852,79.58,76.89,1.0,B,0.0584
2,0.4,456,14,0.5528,80.80,74.93,1.0,B,0.0491
2,0.4,456,15,0.5336,81.46,78.39,1.0,B,0.0485
2,0.4,456,16,0.5140,82.04,77.37,1.0,B,0.0479
2,0.4,456,17,0.4943,82.87,79.40,1.0,B,0.0508
2,0.4,456,18,0.4731,83.55,79.46,1.0,B,0.0452
2,0.4,456,19,0.4596,84.03,78.32,1.0,B,0.0433
2,0.4,456,20,0.4482,84.49,79.44,1.0,B,0.0414
2,0.4,456,21,0.4228,85.41,79.48,1.0,B,0.0373
2,0.4,456,22,0.4200,85.41,81.71,1.0,B,0.0406
2,0.4,456,23,0.4089,85.85,81.23,1.0,B,0.0429
2,0.4,456,24,0.3930,86.41,80.57,1.0,B,0.0362
2,0.4,456,25,0.3892,86.50,82.56,1.0,B,0.0380
2,0.4,456,26,0.3787,86.72,83.20,1.0,B,0.0385
2,0.4,456,27,0.3657,87.32,81.99,1.0,B,0.0326
2,0.4,456,28,0.3547,87.59,83.52,1.0,B,0.0341
2,0.4,456,29,0.3538,87.65,81.28,1.0,B,0.0378
2,0.4,456,30,0.3381,88.25,85.59,1.0,B,0.0357
2,0.4,456,31,0.2724,90.64,87.49,1.0,B,0.0059
2,0.4,456,32,0.2590,91.08,87.87,1.0,B,0.0018
2,0.4,456,33,0.2486,91.53,87.68,1.0,B,0.0039
2,0.4,456,34,0.2460,91.70,87.83,1.0,B,0.0035
2,0.4,456,35,0.2443,91.55,87.85,1.0,B,0.0016
2,0.4,456,36,0.2365,91.94,87.83,1.0,B,0.0012
2,0.4,456,37,0.2359,91.86,87.90,1.0,B,-0.0017
2,0.4,456,38,0.2323,92.03,87.93,1.0,B,0.0051
2,0.4,456,39,0.2327,92.07,87.72,1.0,B,0.0033
2,0.4,456,40,0.2260,92.24,87.91,1.0,B,0.0004
2,0.4,456,41,0.2231,92.41,87.94,1.0,B,0.0028
2,0.4,456,42,0.2228,92.38,88.13,1.0,B,-0.0022
2,0.4,456,43,0.2209,92.42,87.96,1.0,B,0.0015
2,0.4,456,44,0.2197,92.30,87.97,1.0,B,-0.0018
2,0.4,456,45,0.2219,92.43,87.98,1.0,B,0.0019
2,0.4,456,46,0.2192,92.48,88.00,1.0,B,0.0021
2,0.4,456,47,0.2195,92.52,88.00,1.0,B,0.0002
2,0.4,456,48,0.2208,92.37,87.94,1.0,B,0.0022
2,0.4,456,49,0.2179,92.51,87.98,1.0,B,0.0011
2,0.4,456,50,0.2181,92.51,88.11,1.0,B,-0.0000
