tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
5,0.0,456,1,2.0492,24.91,30.73,0.2,C,0.1111
5,0.0,456,2,1.7138,35.38,40.38,0.2,C,0.0737
5,0.0,456,3,1.5755,41.22,45.57,0.2,C,0.0635
5,0.0,456,4,1.4826,44.80,47.73,0.2,C,0.0688
5,0.0,456,5,1.3963,48.68,50.35,0.2,C,0.0630
5,0.0,456,6,1.3320,51.18,52.10,0.2,C,0.0655
5,0.0,456,7,1.2593,54.09,50.24,0.2,C,0.0613
5,0.0,456,8,1.2035,56.53,50.14,0.2,C,0.0655
5,0.0,456,9,1.1666,57.63,59.36,0.2,C,0.0642
5,0.0,456,10,1.1118,59.79,57.45,0.2,C,0.0580
5,0.0,456,11,1.0631,61.85,60.70,0.2,C,0.0522
5,0.0,456,12,1.0306,63.01,63.11,0.2,C,0.0567
5,0.0,456,13,1.0037,63.87,64.51,0.2,C,0.0479
5,0.0,456,14,0.9592,65.77,64.93,0.2,C,0.0394
5,0.0,456,15,0.9373,66.39,64.69,0.2,C,0.0419
5,0.0,456,16,0.9045,67.77,65.57,0.2,C,0.0388
5,0.0,456,17,0.8857,68.35,66.44,0.2,C,0.0463
5,0.0,456,18,0.8496,69.87,68.81,0.2,C,0.0442
5,0.0,456,19,0.8332,70.35,67.35,0.2,C,0.0419
5,0.0,456,20,0.8101,71.16,71.16,0.2,C,0.0421
5,0.0,456,21,0.7802,72.38,71.12,0.2,C,0.0406
5,0.0,456,22,0.7645,73.01,70.68,0.2,C,0.0433
5,0.0,456,23,0.7438,73.81,70.28,0.2,C,0.0382
5,0.0,456,24,0.7344,74.09,72.95,0.2,C,0.0446
5,0.0,456,25,0.7148,74.73,72.42,0.2,C,0.0349
5,0.0,456,26,0.6991,75.34,74.08,0.2,C,0.0340
5,0.0,456,27,0.6839,75.94,71.62,0.2,C,0.0381
5,0.0,456,28,0.6687,76.51,75.99,0.2,C,0.0370
5,0.0,456,29,0.6548,76.96,67.65,0.2,C,0.0240
5,0.0,456,30,0.6469,77.32,76.37,0.2,C,0.0392
5,0.0,456,31,0.5915,79.33,79.17,0.2,C,0.0076
5,0.0,456,32,0.5880,79.48,79.14,0.2,C,0.0039
5,0.0,456,33,0.5857,79.39,78.98,0.2,C,0.0050
5,0.0,456,34,0.5837,79.60,79.02,0.2,C,0.0066
5,0.0,456,35,0.5792,79.56,79.24,0.2,C,0.0050
5,0.0,456,36,0.5765,79.86,79.10,0.2,C,0.0058
5,0.0,456,37,0.5763,79.90,79.22,0.2,C,0.0004
5,0.0,456,38,0.5743,80.02,79.28,0.2,C,0.0030
5,0.0,456,39,0.5734,79.92,79.33,0.2,C,0.0021
5,0.0,456,40,0.5721,80.10,79.46,0.2,C,0.0023
5,0.0,456,41,0.5683,80.06,79.42,0.2,C,-0.0003
5,0.0,456,42,0.5674,80.23,79.41,0.2,C,-0.0036
5,0.0,456,43,0.5715,80.09,79.45,0.2,C,0.0065
5,0.0,456,44,0.5667,80.09,79.50,0.2,C,0.0036
5,0.0,456,45,0.5657,80.30,79.34,0.2,C,-0.0022
5,0.0,456,46,0.5713,80.18,79.50,0.2,C,-0.0003
5,0.0,456,47,0.5673,80.29,79.57,0.2,C,0.0029
5,0.0,456,48,0.5669,80.20,79.55,0.2,C,0.0032
5,0.0,456,49,0.5673,80.09,79.52,0.2,C,-0.0035
5,0.0,456,50,0.5661,80.10,79.55,0.2,C,-0.0010
