tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle
0,0.2,42,1,1.6478,38.61,41.85,1.0,E,
0,0.2,42,2,1.2555,54.24,56.87,1.0,E,
0,0.2,42,3,1.0639,61.81,55.32,1.0,E,
0,0.2,42,4,0.9393,66.51,54.94,1.0,E,
0,0.2,42,5,0.8492,69.89,64.41,1.0,E,
0,0.2,42,6,0.7776,72.56,65.03,1.0,E,
0,0.2,42,7,0.7179,74.76,72.10,1.0,E,
0,0.2,42,8,0.6686,76.57,67.46,1.0,E,
0,0.2,42,9,0.6295,78.08,76.04,1.0,E,
0,0.2,42,10,0.5976,79.20,71.67,1.0,E,
0,0.2,42,11,0.5690,80.07,74.14,1.0,E,
0,0.2,42,12,0.5435,81.17,77.47,1.0,E,
0,0.2,42,13,0.5212,81.94,77.53,1.0,E,
0,0.2,42,14,0.5014,82.51,74.79,1.0,E,
0,0.2,42,15,0.4853,83.25,79.87,1.0,E,
0,0.2,42,16,0.4648,83.80,80.16,1.0,E,
0,0.2,42,17,0.4497,84.31,67.61,1.0,E,
0,0.2,42,18,0.4385,84.66,80.70,1.0,E,
0,0.2,42,19,0.4270,85.05,78.65,1.0,E,
0,0.2,42,20,0.4195,85.35,80.70,1.0,E,
0,0.2,42,21,0.4070,85.82,80.55,1.0,E,
0,0.2,42,22,0.3937,86.35,71.39,1.0,E,
0,0.2,42,23,0.3843,86.54,81.68,1.0,E,
0,0.2,42,24,0.3714,87.09,77.39,1.0,E,
0,0.2,42,25,0.3657,87.23,81.71,1.0,E,
0,0.2,42,26,0.3586,87.52,83.66,1.0,E,
0,0.2,42,27,0.3504,87.80,79.02,1.0,E,
0,0.2,42,28,0.3397,88.05,79.73,1.0,E,
0,0.2,42,29,0.3305,88.56,80.40,1.0,E,
0,0.2,42,30,0.3261,88.64,84.61,1.0,E,
0,0.2,42,31,0.2670,90.83,87.05,1.0,E,
0,0.2,42,32,0.2533,91.29,87.27,1.0,E,
0,0.2,42,33,0.2420,91.77,87.22,1.0,E,
0,0.2,42,34,0.2392,91.77,87.25,1.0,E,
0,0.2,42,35,0.2386,91.77,87.16,1.0,E,
0,0.2,42,36,0.2333,91.90,87.26,1.0,E,
0,0.2,42,37,0.2308,92.08,87.35,1.0,E,
0,0.2,42,38,0.2309,92.08,87.43,1.0,E,
0,0.2,42,39,0.2288,92.10,87.30,1.0,E,
0,0.2,42,40,0.2288,92.11,87.34,1.0,E,
0,0.2,42,41,0.2203,92.41,87.41,1.0,E,
0,0.2,42,42,0.2174,92.54,87.40,1.0,E,
0,0.2,42,43,0.2161,92.56,87.44,1.0,E,
0,0.2,42,44,0.2163,92.62,87.50,1.0,E,
0,0.2,42,45,0.2162,92.59,87.42,1.0,E,
0,0.2,42,46,0.2152,92.64,87.42,1.0,E,
0,0.2,42,47,0.2143,92.58,87.42,1.0,E,
0,0.2,42,48,0.2146,92.58,87.33,1.0,E,
0,0.2,42,49,0.2154,92.75,87.46,1.0,E,
0,0.2,42,50,0.2138,92.65,87.56,1.0,E,
