dist,K,c_mean,tau,momentum,seed,epoch,train_loss,train_acc,test_acc,grad_angle,stale_mean,stale_std,stale_max,stale_p99
fifo,0,4.0,16,0.9,123,1,10.5122,10.13,10.03,0.2099,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,2,3.1686,10.14,10.03,0.4148,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,3,3.0425,10.08,10.03,0.4020,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,4,3.1514,10.10,10.03,0.4011,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,5,3.2285,9.79,10.01,0.3978,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,6,3.1662,10.04,10.03,0.4016,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,7,3.1968,9.88,10.00,0.4014,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,8,3.1916,10.01,10.03,0.4126,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,9,3.1447,10.00,10.03,0.3966,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,10,3.2846,9.99,10.02,0.4050,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,11,3.1744,9.95,10.03,0.4010,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,12,3.3238,9.82,10.00,0.4078,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,13,3.1529,10.04,10.03,0.4031,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,14,3.1624,9.84,10.03,0.3991,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,15,3.0807,9.90,10.02,0.4155,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,16,3.2603,10.33,10.02,0.4061,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,17,3.0528,9.94,10.00,0.4229,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,18,3.1493,10.21,10.00,0.4094,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,19,3.1590,10.09,10.00,0.3955,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,20,3.4197,10.00,10.00,0.4013,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,21,3.1906,10.13,10.00,0.4168,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,22,3.1260,10.10,10.00,0.4062,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,23,3.1071,9.86,10.00,0.4065,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,24,3.1350,9.88,10.00,0.4008,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,25,3.2200,10.14,10.00,0.4008,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,26,3.3220,9.95,10.00,0.4008,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,27,3.1036,10.01,10.00,0.4107,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,28,3.2040,9.71,10.00,0.3916,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,29,3.0664,9.76,10.00,0.4011,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,30,3.1689,9.91,10.00,0.3927,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,31,3.0717,10.21,10.00,0.4234,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,32,3.1747,9.92,10.00,0.4052,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,33,3.1403,10.18,10.00,0.4096,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,34,3.2077,10.01,10.00,0.3975,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,35,3.1832,9.82,10.00,0.4087,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,36,3.1532,9.95,10.00,0.4023,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,37,3.1523,10.10,10.00,0.4002,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,38,3.3035,9.83,10.00,0.4050,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,39,3.2156,10.07,9.96,0.3936,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,40,3.1396,10.21,10.01,0.4174,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,41,3.0982,10.11,10.00,0.4019,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,42,3.2732,10.07,10.36,0.3973,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,43,3.1226,10.03,10.00,0.4210,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,44,3.1038,10.05,10.00,0.4009,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,45,3.1171,10.01,10.00,0.4137,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,46,3.1319,9.93,10.00,0.4079,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,47,3.0430,10.17,10.00,0.4173,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,48,3.1712,9.96,10.00,0.4040,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,49,3.2966,10.00,10.00,0.4092,16.000,0.000,16,16.0
fifo,0,4.0,16,0.9,123,50,3.1357,10.01,10.00,0.4136,16.000,0.000,16,16.0
