dist,K,c_mean,tau,momentum,seed,epoch,train_loss,train_acc,test_acc,grad_angle,stale_mean,stale_std,stale_max,stale_p99
fifo,0,4.0,64,0.9,42,1,12.9018,10.57,9.79,0.0013,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,2,2.5606,10.00,9.99,0.4367,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,3,2.3052,10.09,10.02,0.0398,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,4,2.3034,9.76,10.02,0.0245,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,5,2.3031,9.99,10.02,0.0153,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,6,2.3035,9.75,10.03,0.0160,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,7,2.3034,9.92,10.19,0.0010,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,8,2.3031,10.04,9.95,0.0124,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,9,2.3031,9.85,10.03,-0.0066,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,10,2.3032,9.90,10.02,0.0051,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,11,2.3031,9.89,10.01,-0.0264,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,12,2.3035,10.01,10.00,0.0336,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,13,2.3035,9.83,10.01,-0.0239,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,14,2.3028,10.25,9.98,-0.0131,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,15,2.3030,9.94,10.20,0.0203,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,16,2.3029,10.17,10.10,0.0229,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,17,2.3030,9.93,10.14,-0.0052,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,18,2.3031,9.92,10.18,0.0012,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,19,2.3029,9.62,10.23,0.0102,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,20,2.3030,9.89,10.17,0.0101,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,21,2.3031,9.92,10.28,0.0183,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,22,2.3029,9.85,10.30,0.0257,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,23,2.3028,10.12,10.28,0.0162,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,24,2.3029,9.95,10.31,-0.0347,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,25,2.3029,9.98,10.37,0.0177,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,26,2.3030,9.91,10.28,0.0329,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,27,2.3029,9.93,10.30,0.0160,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,28,2.3030,9.82,10.27,0.0309,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,29,2.3028,10.13,10.38,0.0098,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,30,2.3025,10.13,10.38,0.0103,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,31,2.3026,10.18,10.24,0.0186,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,32,2.3027,9.88,10.56,0.0172,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,33,2.3022,10.27,10.31,-0.0018,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,34,2.3025,9.93,10.52,0.0091,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,35,2.3025,10.00,10.41,-0.0091,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,36,2.3023,10.13,10.89,0.0053,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,37,2.3018,10.22,10.58,-0.0114,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,38,2.3015,10.19,10.64,-0.0061,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,39,2.3013,10.43,10.36,-0.0098,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,40,2.3007,10.34,10.56,0.0097,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,41,2.3008,10.15,10.21,0.0154,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,42,2.3003,10.33,11.51,0.0153,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,43,2.3011,10.42,10.39,-0.0001,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,44,2.3013,10.06,10.81,0.0161,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,45,2.2999,10.37,11.17,0.0014,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,46,2.3007,10.21,10.83,-0.0037,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,47,2.2998,10.58,11.08,0.0093,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,48,2.2994,10.68,11.06,0.0022,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,49,2.2996,10.66,11.01,0.0092,64.000,0.000,64,64.0
fifo,0,4.0,64,0.9,42,50,2.3007,10.37,11.01,0.0373,64.000,0.000,64,64.0
