dist,K,c_mean,tau,momentum,seed,epoch,train_loss,train_acc,test_acc,grad_angle,stale_mean,stale_std,stale_max,stale_p99
geometric,5,4.0,0,0.9,123,1,2.5662,10.13,10.34,0.1054,3.964,3.584,24,17.3
geometric,5,4.0,0,0.9,123,2,2.2909,11.27,9.98,0.0979,4.008,3.482,23,16.1
geometric,5,4.0,0,0.9,123,3,2.1464,17.45,19.67,0.2553,3.990,3.398,22,16.1
geometric,5,4.0,0,0.9,123,4,2.0985,19.78,16.55,0.3257,3.997,3.874,36,18.0
geometric,5,4.0,0,0.9,123,5,1.9715,23.32,21.35,0.2853,4.015,3.814,26,19.2
geometric,5,4.0,0,0.9,123,6,1.8863,26.77,27.13,0.2507,3.982,3.760,26,17.1
geometric,5,4.0,0,0.9,123,7,1.8143,29.77,29.01,0.2611,4.008,3.493,18,15.0
geometric,5,4.0,0,0.9,123,8,1.7348,33.44,37.50,0.2522,3.977,3.649,24,17.1
geometric,5,4.0,0,0.9,123,9,1.6797,36.18,35.83,0.2396,4.026,3.583,22,16.3
geometric,5,4.0,0,0.9,123,10,1.5660,41.84,36.99,0.2266,3.997,3.523,24,15.1
geometric,5,4.0,0,0.9,123,11,1.4336,46.99,48.10,0.2010,3.995,3.875,25,18.1
geometric,5,4.0,0,0.9,123,12,1.3842,49.63,55.16,0.2183,3.997,3.501,22,17.0
geometric,5,4.0,0,0.9,123,13,1.2690,53.78,49.41,0.1869,4.005,3.411,25,17.1
geometric,5,4.0,0,0.9,123,14,1.2098,56.49,58.45,0.1788,4.010,3.352,20,14.3
geometric,5,4.0,0,0.9,123,15,1.1026,60.47,60.21,0.1563,3.985,3.612,19,17.0
geometric,5,4.0,0,0.9,123,16,1.0217,63.80,57.46,0.1265,4.015,3.852,26,19.0
geometric,5,4.0,0,0.9,123,17,0.9967,64.44,63.73,0.1487,3.992,3.557,25,16.1
geometric,5,4.0,0,0.9,123,18,0.9019,68.34,62.64,0.1134,4.010,3.973,31,19.1
geometric,5,4.0,0,0.9,123,19,0.8494,70.18,63.85,0.1104,4.000,3.655,22,17.1
geometric,5,4.0,0,0.9,123,20,0.8264,70.97,66.69,0.1061,3.982,3.449,22,15.0
geometric,5,4.0,0,0.9,123,21,0.7811,72.86,69.56,0.0998,4.003,3.610,34,15.0
geometric,5,4.0,0,0.9,123,22,0.7554,73.75,70.83,0.1033,4.013,3.561,20,16.1
geometric,5,4.0,0,0.9,123,23,0.7058,75.63,76.04,0.0841,3.962,3.738,21,18.1
geometric,5,4.0,0,0.9,123,24,0.7156,75.09,73.08,0.0980,4.015,3.493,22,16.1
geometric,5,4.0,0,0.9,123,25,0.6725,76.81,74.65,0.0831,4.003,3.385,23,15.1
geometric,5,4.0,0,0.9,123,26,0.6180,78.69,72.77,0.0652,4.005,4.106,32,20.0
geometric,5,4.0,0,0.9,123,27,0.6646,77.09,71.42,0.0896,4.015,3.468,23,17.1
geometric,5,4.0,0,0.9,123,28,0.6102,78.75,74.20,0.0728,3.967,3.582,27,16.1
geometric,5,4.0,0,0.9,123,29,0.5973,79.34,80.60,0.0712,4.003,3.796,25,19.0
geometric,5,4.0,0,0.9,123,30,0.5850,79.93,77.96,0.0690,4.013,3.554,21,18.0
geometric,5,4.0,0,0.9,123,31,0.5767,79.92,74.71,0.0753,3.990,3.618,22,18.0
geometric,5,4.0,0,0.9,123,32,0.5603,80.98,75.61,0.0672,4.028,3.469,19,16.1
geometric,5,4.0,0,0.9,123,33,0.5524,81.02,79.42,0.0686,3.992,3.240,23,15.1
geometric,5,4.0,0,0.9,123,34,0.5250,81.68,80.27,0.0581,4.005,3.604,20,17.2
geometric,5,4.0,0,0.9,123,35,0.5344,81.70,74.73,0.0662,3.977,3.787,27,18.0
geometric,5,4.0,0,0.9,123,36,0.5243,81.82,77.14,0.0663,4.020,3.825,22,18.0
geometric,5,4.0,0,0.9,123,37,0.5164,82.28,79.82,0.0655,4.005,3.523,23,17.1
geometric,5,4.0,0,0.9,123,38,0.4910,83.06,79.58,0.0562,3.995,3.378,25,15.1
geometric,5,4.0,0,0.9,123,39,0.5036,82.73,78.24,0.0606,3.964,3.668,28,16.5
geometric,5,4.0,0,0.9,123,40,0.4696,83.69,80.09,0.0508,4.043,3.572,23,18.2
geometric,5,4.0,0,0.9,123,41,0.4680,83.79,72.54,0.0566,3.987,3.437,23,14.1
geometric,5,4.0,0,0.9,123,42,0.4804,83.51,79.87,0.0550,3.977,3.836,25,17.1
geometric,5,4.0,0,0.9,123,43,0.4675,83.90,80.93,0.0579,4.036,3.536,26,16.0
geometric,5,4.0,0,0.9,123,44,0.4794,83.62,76.44,0.0662,3.972,3.355,21,15.0
geometric,5,4.0,0,0.9,123,45,0.4527,84.38,79.93,0.0521,3.990,3.411,21,15.0
geometric,5,4.0,0,0.9,123,46,0.4439,84.79,81.02,0.0536,4.026,3.485,22,16.3
geometric,5,4.0,0,0.9,123,47,0.4409,84.92,80.72,0.0512,4.013,3.787,23,18.2
geometric,5,4.0,0,0.9,123,48,0.4284,85.17,78.48,0.0483,3.987,3.514,18,18.0
geometric,5,4.0,0,0.9,123,49,0.4221,85.53,79.82,0.0476,3.987,3.286,18,14.2
geometric,5,4.0,0,0.9,123,50,0.4322,85.06,81.44,0.0526,4.013,3.506,22,17.2
