dist,K,c_mean,tau,momentum,seed,epoch,train_loss,train_acc,test_acc,grad_angle,stale_mean,stale_std,stale_max,stale_p99
geometric,65,4.0,0,0.9,42,1,6.2734,10.56,9.96,0.0780,54.500,40.164,300,173.5
geometric,65,4.0,0,0.9,42,2,2.3071,9.89,10.12,0.0319,62.910,51.005,334,235.1
geometric,65,4.0,0,0.9,42,3,2.3032,10.03,10.11,0.0217,64.043,53.078,417,239.8
geometric,65,4.0,0,0.9,42,4,2.3031,9.71,10.11,-0.0012,64.069,52.904,396,256.7
geometric,65,4.0,0,0.9,42,5,2.3030,9.88,9.96,0.0311,63.706,50.554,278,248.3
geometric,65,4.0,0,0.9,42,6,2.3029,9.96,10.00,0.0295,64.542,59.020,425,330.5
geometric,65,4.0,0,0.9,42,7,2.3030,10.14,10.06,-0.0113,63.719,54.665,525,261.1
geometric,65,4.0,0,0.9,42,8,2.3029,9.96,9.91,0.0090,63.987,48.646,374,210.0
geometric,65,4.0,0,0.9,42,9,2.3028,10.08,10.09,-0.0198,63.634,51.189,278,253.3
geometric,65,4.0,0,0.9,42,10,2.3032,9.98,10.00,-0.0085,63.834,49.809,422,259.7
geometric,65,4.0,0,0.9,42,11,2.3029,9.85,9.89,0.0191,65.169,53.548,433,254.9
geometric,65,4.0,0,0.9,42,12,2.3031,10.03,9.95,-0.0154,63.752,47.219,296,237.2
geometric,65,4.0,0,0.9,42,13,2.3029,9.67,10.09,0.0048,64.529,55.935,402,281.4
geometric,65,4.0,0,0.9,42,14,2.3029,10.11,9.94,0.0193,61.941,50.318,319,251.5
geometric,65,4.0,0,0.9,42,15,2.3027,10.11,10.09,0.0047,65.404,59.528,475,306.1
geometric,65,4.0,0,0.9,42,16,2.3027,10.03,10.11,-0.0100,64.698,52.373,329,267.5
geometric,65,4.0,0,0.9,42,17,2.3027,9.91,10.13,-0.0399,64.430,50.487,284,252.4
geometric,65,4.0,0,0.9,42,18,2.3027,9.79,10.08,-0.0022,61.974,47.264,301,238.9
geometric,65,4.0,0,0.9,42,19,2.3026,10.00,10.16,0.0489,64.596,49.375,359,224.6
geometric,65,4.0,0,0.9,42,20,2.3026,9.94,10.16,0.0264,64.312,51.105,389,258.7
geometric,65,4.0,0,0.9,42,21,2.3028,9.98,10.15,-0.0199,64.174,52.086,317,282.9
geometric,65,4.0,0,0.9,42,22,2.3023,9.99,10.11,-0.0065,63.752,55.649,330,258.0
geometric,65,4.0,0,0.9,42,23,2.3020,10.15,10.18,0.0171,63.627,50.596,272,258.6
geometric,65,4.0,0,0.9,42,24,2.3018,9.97,10.26,0.0151,64.811,52.814,486,226.2
geometric,65,4.0,0,0.9,42,25,2.3017,10.02,10.21,0.0071,63.478,54.131,346,256.7
geometric,65,4.0,0,0.9,42,26,2.3018,10.06,10.09,0.0144,63.614,49.597,264,241.0
geometric,65,4.0,0,0.9,42,27,2.3017,10.00,10.17,0.0025,64.964,52.300,293,271.0
geometric,65,4.0,0,0.9,42,28,2.3014,10.16,10.15,-0.0017,64.043,49.267,316,232.2
geometric,65,4.0,0,0.9,42,29,2.3006,10.20,10.19,0.0017,64.123,45.858,245,217.2
geometric,65,4.0,0,0.9,42,30,2.3008,10.30,10.29,0.0163,62.992,51.055,344,255.5
geometric,65,4.0,0,0.9,42,31,2.2997,10.41,10.34,0.0211,65.123,59.749,525,315.4
geometric,65,4.0,0,0.9,42,32,2.3002,10.13,10.27,0.0273,62.903,49.366,350,237.9
geometric,65,4.0,0,0.9,42,33,2.2999,10.32,10.31,0.0225,63.143,55.463,384,291.3
geometric,65,4.0,0,0.9,42,34,2.2990,10.23,10.01,0.0082,64.496,49.529,335,242.8
geometric,65,4.0,0,0.9,42,35,2.2986,10.27,10.44,0.0311,65.527,54.138,438,229.8
geometric,65,4.0,0,0.9,42,36,2.2986,10.18,10.34,0.0061,62.657,47.889,387,207.3
geometric,65,4.0,0,0.9,42,37,2.2977,10.63,10.53,0.0272,63.624,53.615,324,267.6
geometric,65,4.0,0,0.9,42,38,2.2971,10.41,10.39,-0.0106,64.921,56.841,372,309.7
geometric,65,4.0,0,0.9,42,39,2.2964,10.61,10.53,0.0030,63.987,50.270,427,237.6
geometric,65,4.0,0,0.9,42,40,2.2960,10.69,11.04,-0.0091,63.417,59.320,542,278.1
geometric,65,4.0,0,0.9,42,41,2.2947,10.58,10.94,0.0247,65.665,53.646,381,259.2
geometric,65,4.0,0,0.9,42,42,2.2933,10.81,11.31,-0.0062,64.499,46.902,326,216.2
geometric,65,4.0,0,0.9,42,43,2.2929,10.52,10.92,0.0009,61.504,48.741,283,231.7
geometric,65,4.0,0,0.9,42,44,2.2907,10.99,10.83,0.0063,64.332,51.405,329,246.0
geometric,65,4.0,0,0.9,42,45,2.2842,11.59,12.34,0.0035,64.946,53.310,392,240.1
geometric,65,4.0,0,0.9,42,46,2.2784,11.72,11.15,0.0092,64.087,49.910,304,263.3
geometric,65,4.0,0,0.9,42,47,2.2638,12.72,13.92,0.0444,62.373,51.671,411,249.4
geometric,65,4.0,0,0.9,42,48,2.2435,13.73,14.12,0.0319,66.289,54.219,394,262.3
geometric,65,4.0,0,0.9,42,49,2.2039,15.95,17.36,0.0603,62.885,48.505,267,234.6
geometric,65,4.0,0,0.9,42,50,2.1661,17.46,18.39,0.0585,64.000,56.339,379,281.1
