tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
16,0.0,456,1,2.9719,14.02,18.39,1.0,A,0.0844,fixed,0.0000,0.3,geometric,17
16,0.0,456,2,2.1220,19.98,24.43,1.0,A,0.0722,fixed,0.0000,0.3,geometric,17
16,0.0,456,3,1.9704,25.37,27.83,1.0,A,0.0375,fixed,0.0000,0.3,geometric,17
16,0.0,456,4,1.8653,29.52,32.33,1.0,A,0.0537,fixed,0.0000,0.3,geometric,17
16,0.0,456,5,1.7902,32.46,35.34,1.0,A,0.0610,fixed,0.0000,0.3,geometric,17
16,0.0,456,6,1.6902,36.11,35.59,1.0,A,0.0624,fixed,0.0000,0.3,geometric,17
16,0.0,456,7,1.6394,38.19,41.67,1.0,A,0.0628,fixed,0.0000,0.3,geometric,17
16,0.0,456,8,1.5537,41.41,39.62,1.0,A,0.0462,fixed,0.0000,0.3,geometric,17
16,0.0,456,9,1.5165,43.31,36.69,1.0,A,0.0454,fixed,0.0000,0.3,geometric,17
16,0.0,456,10,1.4298,47.60,49.47,1.0,A,0.0549,fixed,0.0000,0.3,geometric,17
16,0.0,456,11,1.3965,48.87,50.25,1.0,A,0.0536,fixed,0.0000,0.3,geometric,17
16,0.0,456,12,1.3131,52.08,52.76,1.0,A,0.0426,fixed,0.0000,0.3,geometric,17
16,0.0,456,13,1.2494,54.44,54.40,1.0,A,0.0393,fixed,0.0000,0.3,geometric,17
16,0.0,456,14,1.1540,58.20,54.90,1.0,A,0.0385,fixed,0.0000,0.3,geometric,17
16,0.0,456,15,1.1009,60.06,61.51,1.0,A,0.0416,fixed,0.0000,0.3,geometric,17
16,0.0,456,16,1.0379,62.67,62.49,1.0,A,0.0379,fixed,0.0000,0.3,geometric,17
16,0.0,456,17,1.0148,63.54,61.64,1.0,A,0.0371,fixed,0.0000,0.3,geometric,17
16,0.0,456,18,0.9544,65.90,65.23,1.0,A,0.0362,fixed,0.0000,0.3,geometric,17
16,0.0,456,19,0.9252,66.97,66.02,1.0,A,0.0291,fixed,0.0000,0.3,geometric,17
16,0.0,456,20,0.8870,68.65,62.58,1.0,A,0.0360,fixed,0.0000,0.3,geometric,17
16,0.0,456,21,0.8388,70.37,62.07,1.0,A,0.0250,fixed,0.0000,0.3,geometric,17
16,0.0,456,22,0.8102,71.18,70.60,1.0,A,0.0268,fixed,0.0000,0.3,geometric,17
16,0.0,456,23,0.7856,72.27,72.24,1.0,A,0.0298,fixed,0.0000,0.3,geometric,17
16,0.0,456,24,0.7593,73.35,73.65,1.0,A,0.0236,fixed,0.0000,0.3,geometric,17
16,0.0,456,25,0.7289,74.57,73.34,1.0,A,0.0232,fixed,0.0000,0.3,geometric,17
16,0.0,456,26,0.7087,75.23,64.77,1.0,A,0.0265,fixed,0.0000,0.3,geometric,17
16,0.0,456,27,0.6945,75.47,75.54,1.0,A,0.0243,fixed,0.0000,0.3,geometric,17
16,0.0,456,28,0.6726,76.52,75.10,1.0,A,0.0197,fixed,0.0000,0.3,geometric,17
16,0.0,456,29,0.6546,77.07,73.60,1.0,A,0.0195,fixed,0.0000,0.3,geometric,17
16,0.0,456,30,0.6462,77.59,77.18,1.0,A,0.0216,fixed,0.0000,0.3,geometric,17
16,0.0,456,31,0.5583,80.85,79.95,1.0,A,0.0125,fixed,0.0000,0.3,geometric,17
16,0.0,456,32,0.5441,81.19,80.45,1.0,A,0.0047,fixed,0.0000,0.3,geometric,17
16,0.0,456,33,0.5351,81.50,80.53,1.0,A,0.0052,fixed,0.0000,0.3,geometric,17
16,0.0,456,34,0.5289,81.66,80.69,1.0,A,0.0000,fixed,0.0000,0.3,geometric,17
16,0.0,456,35,0.5238,81.85,80.89,1.0,A,0.0052,fixed,0.0000,0.3,geometric,17
16,0.0,456,36,0.5185,81.94,80.90,1.0,A,0.0011,fixed,0.0000,0.3,geometric,17
16,0.0,456,37,0.5159,82.11,81.12,1.0,A,-0.0001,fixed,0.0000,0.3,geometric,17
16,0.0,456,38,0.5106,82.23,80.83,1.0,A,0.0017,fixed,0.0000,0.3,geometric,17
16,0.0,456,39,0.5097,82.16,81.05,1.0,A,0.0056,fixed,0.0000,0.3,geometric,17
16,0.0,456,40,0.5109,82.23,80.91,1.0,A,0.0027,fixed,0.0000,0.3,geometric,17
16,0.0,456,41,0.5018,82.48,81.17,1.0,A,0.0047,fixed,0.0000,0.3,geometric,17
16,0.0,456,42,0.5002,82.68,81.24,1.0,A,0.0029,fixed,0.0000,0.3,geometric,17
16,0.0,456,43,0.4984,82.87,81.23,1.0,A,-0.0009,fixed,0.0000,0.3,geometric,17
16,0.0,456,44,0.4983,82.80,81.25,1.0,A,0.0032,fixed,0.0000,0.3,geometric,17
16,0.0,456,45,0.4963,82.81,81.13,1.0,A,0.0010,fixed,0.0000,0.3,geometric,17
16,0.0,456,46,0.4985,82.86,81.30,1.0,A,-0.0017,fixed,0.0000,0.3,geometric,17
16,0.0,456,47,0.4970,82.76,81.17,1.0,A,0.0028,fixed,0.0000,0.3,geometric,17
16,0.0,456,48,0.4972,82.68,81.36,1.0,A,-0.0013,fixed,0.0000,0.3,geometric,17
16,0.0,456,49,0.4979,82.80,81.24,1.0,A,0.0022,fixed,0.0000,0.3,geometric,17
16,0.0,456,50,0.4933,82.83,81.30,1.0,A,-0.0036,fixed,0.0000,0.3,geometric,17
