tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
4,0.0,42,1,2.2593,22.78,31.04,1.0,A,0.1253,fixed,0.0000,0.3,fifo,1
4,0.0,42,2,1.7279,33.83,32.83,1.0,A,0.1001,fixed,0.0000,0.3,fifo,1
4,0.0,42,3,1.5838,40.29,47.93,1.0,A,0.1024,fixed,0.0000,0.3,fifo,1
4,0.0,42,4,1.4612,45.99,46.04,1.0,A,0.0912,fixed,0.0000,0.3,fifo,1
4,0.0,42,5,1.3246,51.52,48.13,1.0,A,0.0807,fixed,0.0000,0.3,fifo,1
4,0.0,42,6,1.2170,55.79,54.96,1.0,A,0.0773,fixed,0.0000,0.3,fifo,1
4,0.0,42,7,1.1201,59.55,58.45,1.0,A,0.0717,fixed,0.0000,0.3,fifo,1
4,0.0,42,8,1.0264,62.87,56.22,1.0,A,0.0679,fixed,0.0000,0.3,fifo,1
4,0.0,42,9,0.9531,65.66,59.28,1.0,A,0.0638,fixed,0.0000,0.3,fifo,1
4,0.0,42,10,0.9088,67.42,64.08,1.0,A,0.0582,fixed,0.0000,0.3,fifo,1
4,0.0,42,11,0.8552,69.42,64.52,1.0,A,0.0465,fixed,0.0000,0.3,fifo,1
4,0.0,42,12,0.8031,71.40,63.11,1.0,A,0.0481,fixed,0.0000,0.3,fifo,1
4,0.0,42,13,0.7633,72.90,64.51,1.0,A,0.0469,fixed,0.0000,0.3,fifo,1
4,0.0,42,14,0.7283,74.35,71.63,1.0,A,0.0473,fixed,0.0000,0.3,fifo,1
4,0.0,42,15,0.6912,75.57,70.70,1.0,A,0.0404,fixed,0.0000,0.3,fifo,1
4,0.0,42,16,0.6631,76.71,72.08,1.0,A,0.0419,fixed,0.0000,0.3,fifo,1
4,0.0,42,17,0.6384,77.55,72.57,1.0,A,0.0388,fixed,0.0000,0.3,fifo,1
4,0.0,42,18,0.6181,78.27,75.07,1.0,A,0.0401,fixed,0.0000,0.3,fifo,1
4,0.0,42,19,0.5972,78.95,76.63,1.0,A,0.0375,fixed,0.0000,0.3,fifo,1
4,0.0,42,20,0.5769,79.76,72.99,1.0,A,0.0332,fixed,0.0000,0.3,fifo,1
4,0.0,42,21,0.5582,80.44,77.55,1.0,A,0.0303,fixed,0.0000,0.3,fifo,1
4,0.0,42,22,0.5403,81.20,77.29,1.0,A,0.0358,fixed,0.0000,0.3,fifo,1
4,0.0,42,23,0.5268,81.62,75.18,1.0,A,0.0339,fixed,0.0000,0.3,fifo,1
4,0.0,42,24,0.5063,82.31,78.22,1.0,A,0.0335,fixed,0.0000,0.3,fifo,1
4,0.0,42,25,0.4999,82.37,80.38,1.0,A,0.0318,fixed,0.0000,0.3,fifo,1
4,0.0,42,26,0.4816,83.04,79.51,1.0,A,0.0303,fixed,0.0000,0.3,fifo,1
4,0.0,42,27,0.4742,83.58,80.12,1.0,A,0.0320,fixed,0.0000,0.3,fifo,1
4,0.0,42,28,0.4516,84.27,80.41,1.0,A,0.0283,fixed,0.0000,0.3,fifo,1
4,0.0,42,29,0.4490,84.22,79.66,1.0,A,0.0309,fixed,0.0000,0.3,fifo,1
4,0.0,42,30,0.4391,84.78,77.99,1.0,A,0.0317,fixed,0.0000,0.3,fifo,1
4,0.0,42,31,0.3734,87.13,85.20,1.0,A,0.0108,fixed,0.0000,0.3,fifo,1
4,0.0,42,32,0.3556,87.65,85.05,1.0,A,0.0040,fixed,0.0000,0.3,fifo,1
4,0.0,42,33,0.3487,87.96,85.37,1.0,A,0.0086,fixed,0.0000,0.3,fifo,1
4,0.0,42,34,0.3454,88.19,85.54,1.0,A,0.0035,fixed,0.0000,0.3,fifo,1
4,0.0,42,35,0.3390,88.36,85.30,1.0,A,0.0010,fixed,0.0000,0.3,fifo,1
4,0.0,42,36,0.3373,88.22,85.38,1.0,A,0.0041,fixed,0.0000,0.3,fifo,1
4,0.0,42,37,0.3387,88.36,85.70,1.0,A,0.0032,fixed,0.0000,0.3,fifo,1
4,0.0,42,38,0.3326,88.49,85.40,1.0,A,0.0042,fixed,0.0000,0.3,fifo,1
4,0.0,42,39,0.3327,88.44,85.78,1.0,A,0.0009,fixed,0.0000,0.3,fifo,1
4,0.0,42,40,0.3349,88.23,85.58,1.0,A,0.0010,fixed,0.0000,0.3,fifo,1
4,0.0,42,41,0.3221,88.94,85.80,1.0,A,-0.0017,fixed,0.0000,0.3,fifo,1
4,0.0,42,42,0.3229,88.88,85.53,1.0,A,0.0001,fixed,0.0000,0.3,fifo,1
4,0.0,42,43,0.3239,88.83,85.63,1.0,A,-0.0007,fixed,0.0000,0.3,fifo,1
4,0.0,42,44,0.3247,88.84,85.79,1.0,A,-0.0064,fixed,0.0000,0.3,fifo,1
4,0.0,42,45,0.3196,89.06,85.54,1.0,A,-0.0043,fixed,0.0000,0.3,fifo,1
4,0.0,42,46,0.3217,88.78,85.72,1.0,A,-0.0007,fixed,0.0000,0.3,fifo,1
4,0.0,42,47,0.3216,88.95,85.88,1.0,A,-0.0001,fixed,0.0000,0.3,fifo,1
4,0.0,42,48,0.3206,89.09,85.76,1.0,A,-0.0026,fixed,0.0000,0.3,fifo,1
4,0.0,42,49,0.3219,88.81,85.76,1.0,A,-0.0004,fixed,0.0000,0.3,fifo,1
4,0.0,42,50,0.3188,88.97,85.78,1.0,A,-0.0011,fixed,0.0000,0.3,fifo,1
