tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
4,0.9,42,1,2.5610,12.68,18.99,0.5,C,0.1393,fixed,0.9000,0.3,geometric,5
4,0.9,42,2,2.0798,20.59,24.11,0.5,C,0.2276,fixed,0.9000,0.3,geometric,5
4,0.9,42,3,1.9171,26.69,27.33,0.5,C,0.2705,fixed,0.9000,0.3,geometric,5
4,0.9,42,4,1.8038,30.51,34.77,0.5,C,0.2295,fixed,0.9000,0.3,geometric,5
4,0.9,42,5,1.7020,34.63,38.50,0.5,C,0.2117,fixed,0.9000,0.3,geometric,5
4,0.9,42,6,1.6319,38.23,40.14,0.5,C,0.2138,fixed,0.9000,0.3,geometric,5
4,0.9,42,7,1.5393,42.34,42.56,0.5,C,0.2147,fixed,0.9000,0.3,geometric,5
4,0.9,42,8,1.4274,47.01,43.12,0.5,C,0.1976,fixed,0.9000,0.3,geometric,5
4,0.9,42,9,1.3490,50.57,50.67,0.5,C,0.1811,fixed,0.9000,0.3,geometric,5
4,0.9,42,10,1.2278,55.48,42.99,0.5,C,0.1581,fixed,0.9000,0.3,geometric,5
4,0.9,42,11,1.1521,58.56,59.26,0.5,C,0.1464,fixed,0.9000,0.3,geometric,5
4,0.9,42,12,1.0525,62.17,56.71,0.5,C,0.1416,fixed,0.9000,0.3,geometric,5
4,0.9,42,13,0.9872,65.10,63.42,0.5,C,0.1237,fixed,0.9000,0.3,geometric,5
4,0.9,42,14,0.9410,66.80,68.92,0.5,C,0.1215,fixed,0.9000,0.3,geometric,5
4,0.9,42,15,0.8714,69.42,68.09,0.5,C,0.1054,fixed,0.9000,0.3,geometric,5
4,0.9,42,16,0.8126,71.82,62.95,0.5,C,0.0947,fixed,0.9000,0.3,geometric,5
4,0.9,42,17,0.7966,72.01,70.28,0.5,C,0.1142,fixed,0.9000,0.3,geometric,5
4,0.9,42,18,0.7436,74.17,70.48,0.5,C,0.0880,fixed,0.9000,0.3,geometric,5
4,0.9,42,19,0.7211,75.03,70.03,0.5,C,0.0879,fixed,0.9000,0.3,geometric,5
4,0.9,42,20,0.7127,75.40,75.89,0.5,C,0.0940,fixed,0.9000,0.3,geometric,5
4,0.9,42,21,0.6808,76.30,75.53,0.5,C,0.0785,fixed,0.9000,0.3,geometric,5
4,0.9,42,22,0.6401,77.84,76.09,0.5,C,0.0738,fixed,0.9000,0.3,geometric,5
4,0.9,42,23,0.6405,77.97,78.22,0.5,C,0.0795,fixed,0.9000,0.3,geometric,5
4,0.9,42,24,0.6211,78.55,77.80,0.5,C,0.0795,fixed,0.9000,0.3,geometric,5
4,0.9,42,25,0.5905,79.50,76.51,0.5,C,0.0751,fixed,0.9000,0.3,geometric,5
4,0.9,42,26,0.5770,80.04,79.52,0.5,C,0.0693,fixed,0.9000,0.3,geometric,5
4,0.9,42,27,0.5628,80.60,76.21,0.5,C,0.0622,fixed,0.9000,0.3,geometric,5
4,0.9,42,28,0.5797,79.96,77.40,0.5,C,0.0861,fixed,0.9000,0.3,geometric,5
4,0.9,42,29,0.5479,81.17,78.11,0.5,C,0.0667,fixed,0.9000,0.3,geometric,5
4,0.9,42,30,0.5554,80.91,79.79,0.5,C,0.0646,fixed,0.9000,0.3,geometric,5
4,0.9,42,31,0.4331,85.08,85.24,0.5,C,0.0102,fixed,0.9000,0.3,geometric,5
4,0.9,42,32,0.4050,86.08,85.22,0.5,C,0.0029,fixed,0.9000,0.3,geometric,5
4,0.9,42,33,0.3883,86.63,85.46,0.5,C,0.0057,fixed,0.9000,0.3,geometric,5
4,0.9,42,34,0.3839,86.73,85.48,0.5,C,0.0084,fixed,0.9000,0.3,geometric,5
4,0.9,42,35,0.3787,86.99,85.66,0.5,C,0.0065,fixed,0.9000,0.3,geometric,5
4,0.9,42,36,0.3714,87.15,85.66,0.5,C,0.0057,fixed,0.9000,0.3,geometric,5
4,0.9,42,37,0.3668,87.29,85.64,0.5,C,0.0022,fixed,0.9000,0.3,geometric,5
4,0.9,42,38,0.3653,87.46,85.75,0.5,C,0.0042,fixed,0.9000,0.3,geometric,5
4,0.9,42,39,0.3587,87.71,85.94,0.5,C,-0.0003,fixed,0.9000,0.3,geometric,5
4,0.9,42,40,0.3568,87.60,86.00,0.5,C,0.0031,fixed,0.9000,0.3,geometric,5
4,0.9,42,41,0.3473,88.00,86.23,0.5,C,0.0007,fixed,0.9000,0.3,geometric,5
4,0.9,42,42,0.3474,87.97,86.07,0.5,C,0.0023,fixed,0.9000,0.3,geometric,5
4,0.9,42,43,0.3457,88.00,86.20,0.5,C,0.0030,fixed,0.9000,0.3,geometric,5
4,0.9,42,44,0.3440,88.09,86.28,0.5,C,0.0005,fixed,0.9000,0.3,geometric,5
4,0.9,42,45,0.3451,88.16,86.18,0.5,C,-0.0021,fixed,0.9000,0.3,geometric,5
4,0.9,42,46,0.3420,88.20,86.22,0.5,C,0.0032,fixed,0.9000,0.3,geometric,5
4,0.9,42,47,0.3409,88.20,86.28,0.5,C,-0.0004,fixed,0.9000,0.3,geometric,5
4,0.9,42,48,0.3400,88.25,86.36,0.5,C,-0.0001,fixed,0.9000,0.3,geometric,5
4,0.9,42,49,0.3419,88.19,86.21,0.5,C,-0.0026,fixed,0.9000,0.3,geometric,5
4,0.9,42,50,0.3411,88.13,86.25,0.5,C,-0.0010,fixed,0.9000,0.3,geometric,5
