tau,momentum,seed,epoch,train_loss,train_acc,test_acc,lr_scale,experiment,grad_angle,schedule,beta_applied,bound_offset,delay_type,M
64,0.9,42,1,7.5213,11.71,10.22,0.015625,C,0.0555,fixed,0.9000,0.3,fifo,1
64,0.9,42,2,2.7248,10.33,11.73,0.015625,C,0.1979,fixed,0.9000,0.3,fifo,1
64,0.9,42,3,2.3800,11.59,11.04,0.015625,C,0.1149,fixed,0.9000,0.3,fifo,1
64,0.9,42,4,2.3276,11.75,11.21,0.015625,C,0.0346,fixed,0.9000,0.3,fifo,1
64,0.9,42,5,2.3034,12.10,11.69,0.015625,C,0.0203,fixed,0.9000,0.3,fifo,1
64,0.9,42,6,2.2922,12.40,11.73,0.015625,C,0.0073,fixed,0.9000,0.3,fifo,1
64,0.9,42,7,2.2845,13.21,11.76,0.015625,C,0.0141,fixed,0.9000,0.3,fifo,1
64,0.9,42,8,2.2774,14.02,13.69,0.015625,C,0.0279,fixed,0.9000,0.3,fifo,1
64,0.9,42,9,2.2678,14.60,14.14,0.015625,C,0.0296,fixed,0.9000,0.3,fifo,1
64,0.9,42,10,2.2544,15.83,15.95,0.015625,C,0.0287,fixed,0.9000,0.3,fifo,1
64,0.9,42,11,2.2283,17.02,18.74,0.015625,C,0.0499,fixed,0.9000,0.3,fifo,1
64,0.9,42,12,2.1889,17.96,17.68,0.015625,C,0.0541,fixed,0.9000,0.3,fifo,1
64,0.9,42,13,2.1666,18.79,18.85,0.015625,C,0.1084,fixed,0.9000,0.3,fifo,1
64,0.9,42,14,2.1167,19.26,20.30,0.015625,C,0.0834,fixed,0.9000,0.3,fifo,1
64,0.9,42,15,2.0870,19.97,20.87,0.015625,C,0.0752,fixed,0.9000,0.3,fifo,1
64,0.9,42,16,2.0714,19.98,20.81,0.015625,C,0.0730,fixed,0.9000,0.3,fifo,1
64,0.9,42,17,2.0150,21.80,23.23,0.015625,C,0.0816,fixed,0.9000,0.3,fifo,1
64,0.9,42,18,2.0119,21.93,23.38,0.015625,C,0.0730,fixed,0.9000,0.3,fifo,1
64,0.9,42,19,1.9904,22.79,22.97,0.015625,C,0.0519,fixed,0.9000,0.3,fifo,1
64,0.9,42,20,1.9856,22.37,25.03,0.015625,C,0.0793,fixed,0.9000,0.3,fifo,1
64,0.9,42,21,1.9734,23.22,26.54,0.015625,C,0.0570,fixed,0.9000,0.3,fifo,1
64,0.9,42,22,1.9436,24.64,24.14,0.015625,C,0.0359,fixed,0.9000,0.3,fifo,1
64,0.9,42,23,1.9576,24.12,28.94,0.015625,C,0.0961,fixed,0.9000,0.3,fifo,1
64,0.9,42,24,1.9054,25.91,20.79,0.015625,C,0.0175,fixed,0.9000,0.3,fifo,1
64,0.9,42,25,1.9891,23.19,27.96,0.015625,C,0.1341,fixed,0.9000,0.3,fifo,1
64,0.9,42,26,1.8617,28.58,30.82,0.015625,C,0.0597,fixed,0.9000,0.3,fifo,1
64,0.9,42,27,1.9325,26.35,26.92,0.015625,C,0.0611,fixed,0.9000,0.3,fifo,1
64,0.9,42,28,1.8694,28.19,29.05,0.015625,C,0.0765,fixed,0.9000,0.3,fifo,1
64,0.9,42,29,1.8772,27.40,31.60,0.015625,C,0.0845,fixed,0.9000,0.3,fifo,1
64,0.9,42,30,1.8477,28.82,29.81,0.015625,C,0.0693,fixed,0.9000,0.3,fifo,1
64,0.9,42,31,1.7858,31.19,34.22,0.015625,C,0.1920,fixed,0.9000,0.3,fifo,1
64,0.9,42,32,1.7480,34.57,35.44,0.015625,C,0.0571,fixed,0.9000,0.3,fifo,1
64,0.9,42,33,1.7360,34.76,35.70,0.015625,C,0.0364,fixed,0.9000,0.3,fifo,1
64,0.9,42,34,1.7275,35.18,35.77,0.015625,C,0.0170,fixed,0.9000,0.3,fifo,1
64,0.9,42,35,1.7216,35.12,36.10,0.015625,C,0.0156,fixed,0.9000,0.3,fifo,1
64,0.9,42,36,1.7138,35.52,36.15,0.015625,C,0.0194,fixed,0.9000,0.3,fifo,1
64,0.9,42,37,1.7067,35.64,36.45,0.015625,C,0.0153,fixed,0.9000,0.3,fifo,1
64,0.9,42,38,1.7004,36.13,36.21,0.015625,C,0.0051,fixed,0.9000,0.3,fifo,1
64,0.9,42,39,1.6960,36.02,36.65,0.015625,C,-0.0009,fixed,0.9000,0.3,fifo,1
64,0.9,42,40,1.6923,36.22,37.22,0.015625,C,0.0087,fixed,0.9000,0.3,fifo,1
64,0.9,42,41,1.6887,36.59,37.17,0.015625,C,0.0112,fixed,0.9000,0.3,fifo,1
64,0.9,42,42,1.6868,36.48,36.79,0.015625,C,0.0144,fixed,0.9000,0.3,fifo,1
64,0.9,42,43,1.6895,36.37,37.08,0.015625,C,0.0020,fixed,0.9000,0.3,fifo,1
64,0.9,42,44,1.6869,36.58,37.14,0.015625,C,0.0120,fixed,0.9000,0.3,fifo,1
64,0.9,42,45,1.6850,36.85,37.09,0.015625,C,0.0185,fixed,0.9000,0.3,fifo,1
64,0.9,42,46,1.6865,36.55,36.95,0.015625,C,0.0030,fixed,0.9000,0.3,fifo,1
64,0.9,42,47,1.6859,36.59,37.01,0.015625,C,0.0034,fixed,0.9000,0.3,fifo,1
64,0.9,42,48,1.6855,36.48,37.15,0.015625,C,0.0157,fixed,0.9000,0.3,fifo,1
64,0.9,42,49,1.6870,36.49,37.18,0.015625,C,0.0139,fixed,0.9000,0.3,fifo,1
64,0.9,42,50,1.6844,36.58,37.19,0.015625,C,0.0079,fixed,0.9000,0.3,fifo,1
